F1_in_air_time;F2_on_paper_time;F3_total_time;F4_stroke_count;duty_cycle;path_length;median_speed;p95_speed;stop_ratio;straightness;dominant_angle;direction_concentration;mean_pressure;width;height;aspect_ratio;ink_density;id
12076;9322;21398;22;0.43564819141975886;60102304.0;6.461.025.263.070.930;19.028.366.041.664.700;0.10734237829209896;5,27E+11;271.230.527.336.281;208.524.634.615.464;5.930.936.238.902.340;8102;8914;0.9089073367736146;1.100.737.663.758.660;u00001s00001_hw00006
13159;13149;26308;24;0.49980994374334803;13651949.0;2.375;9.840.763.020.992.560;0.13220018885741266;0.0002084721216407904;-2.404.728.386.171.520;5.278.928.203.376.290;8.011.824.942.791.760;6036;5506;10.962.586.269.524.100;0.5087819059007107;u00002s00001_hw00006
29220;9985;39205;33;0.2546869021808443;37868771.0;381.301.102.207.524;1.752.922.571.728.040;0.11950617283950617;9,26E+10;50.684.880.170.167.700;13.719.559.173.841.600;5.367.212.990.936.550;7058;6555;10.767.353.165.522.500;10.243.413.946.640.200;u00003s00001_hw00006
13445;8770;22215;19;0.3947783029484582;9987987.0;3.607.717.422.415.450;1.313.198.307.917.870;0.12081857536402991;0.0004672110329270967;21.071.789.061.973.700;2.065.828.120.267.720;5.546.137.339.055.790;5859;5881;0.9962591396021084;0.37603602993082025;u00004s00001_hw00006
18572;14654;33226;25;0.4410401492806838;61148851.0;37.252.585.172.586.500;13.125;0.13868832731648617;9,08E+10;6.030.288.392.621.190;1.189.280.077.909.240;49.626.656.394.453.000;7133;7689;0.9276889062296788;14.072.533.247.416.000;u00005s00001_hw00006
29944;14920;44864;43;0.33256062767475036;34381838.0;2.627.185.560.519.660;17.149.348.294.937.600;0.17385229540918162;0.0001549262718041558;-2.780.695.161.230.190;10.282.108.079.229.200;5.371.186.868.686.860;13424;5361;25.040.104.458.123.400;0.6552524476196506;u00006s00001_hw00006
32836;15046;47882;32;0.31423081742617265;235063204.0;37.142.857.142.857.100;16.142.857.142.857.100;0.11684616947774842;1,67E+10;-1.055.755.396.462.520;12.485.698.209.246.400;5.383.286.573.146.290;8136;9643;0.8437208337654257;36.874.451.115.487.500;u00007s00001_hw00006
18312;8119;26431;22;0.3071771783133442;5734891.0;24.327.694.808.466.200;1.189.001.439.070.310;0.14910659272951324;0.0002951890692798424;-558.795.162.579.235;5.193.494.774.724.080;4.246.734.693.877.550;3674;3465;10.603.174.603.174.600;0.5740915516743269;u00008s00001_hw00006
15112;9437;24549;23;0.3844148437818241;19437053.0;4.035.003.097.892.240;17.610.939.599.207.400;0.13793103448275862;0.0001799645606361098;3.571.410.817.933.980;29.288.929.541.816.000;46.542.583.732.057.400;6725;7637;0.880581380123085;0.47757874404209116;u00009s00001_hw00006
11685;9974;21659;21;0.46050140819059054;10771150.0;2.981.715.110.469.140;14.100.432.422.317.000;0.14197292069632494;9,43E+10;14.564.465.087.569.800;6.714.716.853.244.600;31.257.358.490.566.000;6170;6927;0.8907174823155767;0.32745477954575863;u00010s00001_hw00006
5485;6882;12367;21;0.5564809573865933;2973929.0;50.316.706.027.817.200;148.199.508.140.333;0.1059850374064838;0.0005380244658909136;53.780.978.362.512.500;15.533.559.443.719.900;49.616.612.021.857.900;6041;6665;0.9063765941485371;0.09878480987514277;u00011s00001_hw00006
4548;6138;10686;19;0.5743964065131948;8904133.0;7.808.463.873.284.160;3.461.892.367.308.620;0.06944444444444445;0.00021092839097660036;2.770.173.011.974.590;18.799.664.083.321.700;5.146.323.529.411.760;7520;8226;0.9141745684415269;0.18289670427177482;u00012s00001_hw00006
23838;11885;35723;22;0.33269882148755703;48073565.0;18.070.158.058.105.000;12.831.720.898.791.700;0.14010311589329746;5,95E+11;3.613.760.585.121.960;6.532.767.403.332.070;41.210.779.961.953.000;5952;5717;10.411.054.748.994.200;1.824.812.816.349.470;u00013s00001_hw00006
14754;17929;32683;24;0.5485726524492855;16286611.0;2.817.583.274.759.430;9.715.276.724.443.330;0.14329847908745247;0.0002422314735952496;29.451.172.809.962.100;29.453.365.062.936.300;5.604.160.369.437.440;5919;6317;0.9369954092132341;0.5420419808511534;u00014s00001_hw00006
12275;10790;23065;24;0.4678083676566226;81391508.0;3.853.936.653.665.090;14.328.802.182.418.800;0.10422535211267606;3,18E+10;825.930.360.148.454;14.177.796.124.913.500;4.974.159.106.769.010;8810;8367;10.529.460.977.650.200;13.817.995.951.838.500;u00015s00001_hw00006
21618;17406;39024;30;0.4460332103321033;11124130.0;19.948.848.769.417.200;94.529.966.461.376;0.1358651502843217;0.00013928284991608636;13.978.550.660.333.700;5.060.667.344.794.330;575.504.761.904.762;7013;7283;0.9629273650968008;0.26571665870270444;u00016s00001_hw00006
31349;20529;51878;34;0.3957168742048653;28804610.0;1.505.199.322.349.030;8.285.629.609.573.090;0.21145731905225576;4,96E+10;15.891.342.353.737.100;17.841.802.757.182.300;4.834.183.486.238.530;3506;3578;0.9798770262716602;2.865.906.351.299.600;u00017s00001_hw00006
23819;13523;37342;22;0.36213914626961596;18167675.0;26.341.555.592.265.300;1.700.054.013.028.030;0.13462905901872482;0.0002107567590649536;2.849.475.376.789.410;3.142.393.929.328.230;6.677.360.801.781.730;7295;8649;0.8434501098392878;0.36652370648160487;u00018s00001_hw00006
46557;36674;83231;48;0.4406290925256215;73469222.0;1.5;7.876.791.462.635.570;0.17475311292400172;3,96E+10;-6.729.369.655.073.970;11.039.848.225.319.300;21.640.689.796.756.300;5376;4257;1.262.861.169.837.910;3.326.436.364.387.950;u00019s00001_hw00006
12119;8917;21036;24;0.4238923749762312;19311809.0;4.250.918.918.961.860;1.486.992.339.384.250;0.11502145922746781;0.0002694717731266312;-9.203.462.218.020.690;0.5068728233323411;6.186.782.094.594.590;6228;5866;1.061.711.558.131.600;0.5672194021618139;u00020s00001_hw00006
26439;28255;54694;40;0.516601455369876;62103914.0;17.142.857.142.857.100;943.116.823.516.086;0.16349977905435262;1,96E+10;-7.600.081.832.720.920;119.667.739.356.474;25.089.344.698.987.700;5374;5639;0.9530058521014364;27.053.096.741.831.900;u00021s00001_hw00006
11889;10549;22438;23;0.47013994117122737;5646588.0;27.414.640.249.326.600;16.270.356.139.646.500;0.16299559471365638;0.0002666070567072124;1.754.242.807.815.230;42.570.822.912.189.000;4.826.588.151.320.480;12472;5816;2.144.429.160.935.350;0.1224870082605044;u00022s00001_hw00006
16782;9515;26297;24;0.3618283454386432;69707831.0;4.543.195.461.346.560;1.944.667.468.945.600;0.12394366197183099;7,14E+09;-580.525.838.449.722;786.186.159.113.163;6.379.556.259.904.910;7557;6631;11.396.471.120.494.600;1.721.201.985.510.610;u00023s00001_hw00006
20092;10645;30737;30;0.3463252757263233;45070902.0;14.252.192.813.739.200;9.195.954.226.318.950;0.1926605504587156;6,66E+10;30.934.268.178.613.500;1.261.588.199.964.200;5.257.050.919.377.650;4207;5006;0.8403915301638034;2.685.599.116.004.500;u00024s00001_hw00006
15164;13741;28905;25;0.47538488150838953;26151162.0;36.784.847.423.905.400;113.254.265.185.878;0.1253317605426128;4,64E+10;-17.193.745.516.214.900;32.253.212.236.929.200;5.430.252.054.794.520;7532;8165;0.9224739742804654;0.5526513660681135;u00025s00001_hw00006
9776;9559;19335;19;0.49438841479182827;18020040.0;35.714.285.714.285.700;1.134.170.826.258.070;0.11723226090788894;7,25E+09;8.510.489.950.863.400;534.051.994.149.495;4.503.806.146.572.100;6137;6274;0.9781638508128786;0.5890883299703283;u00026s00001_hw00006
11127;12440;23567;26;0.5278567488437221;2971208.0;28.410.208.633.178.900;9.174.557.629.453.500;0.13869314541960281;0.0006237712931833176;3.400.801.395.310.850;5.318.071.179.714.360;42.858.015.728.977.600;5113;4916;1.040.073.230.268.510;0.15577547200897357;u00027s00001_hw00006
13397;11560;24957;27;0.4631966983211123;19428496.0;37.649.304.447.886.200;12.474.962.291.462.800;0.11786237188872621;0.00017742423375195977;-57.837.969.688.784.600;25.591.853.136.915.500;5.601.438.802.083.330;7394;7689;0.9616335024060346;0.42631289714227455;u00028s00001_hw00006
12290;9433;21723;22;0.4342402062330249;1252243.0;22.857.142.857.142.800;8.901.131.459.796.780;0.10078740157480315;0.001533877688976569;-58.873.727.827.355.400;3.327.644.268.805.460;5.864.625.199.362.040;4514;4022;1.122.327.200.397.810;0.08653267622722467;u00029s00001_hw00006
10567;10808;21375;21;0.5056374269005848;2820483.0;28.713.930.346.059.600;10.962.164.312.961.800;0.10899964144854786;0.0012364613080088568;14.832.527.167.340.800;7.260.364.102.237.920;4.917.883.008.356.540;6603;7314;0.9027891714520099;0.07488829515708775;u00030s00001_hw00006
