F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,id
8929,14602,23531,34,0.6205431133398496,393992860.0,8.564875943071474,21.0,0.06266756032171582,7.57871038409128e-05,-58.65358506747677,87.92988029114848,461.2340425531915,3349,32927,0.10170984298599933,4.2385658029874715,u00001s00001_hw00007
10505,14278,24783,57,0.5761207279183311,13331986.0,4.952903189039738,14.255707847481876,0.1040279099270536,0.0025649634904987392,-78.3590590561054,122.17059196215614,727.4406958355298,2756,34326,0.08028899376565868,0.18551205799726386,u00002s00001_hw00007
11596,14683,26279,42,0.5587351116861372,175316212.0,6.3148674586572415,16.235393805160516,0.08888160052476221,0.00018602932641692798,-76.91281536436978,32.101587908915654,534.5890200102617,3792,33146,0.11440294454836179,1.8295272363264343,u00003s00001_hw00007
11995,13623,25618,39,0.5317745335311109,60767057.0,5.535397456371133,19.127389476235425,0.1505441354292624,0.00048753636065259606,-35.353430749045145,27.436299564357387,543.0193370165746,15629,30810,0.5072703667640377,0.21970087580455858,u00004s00001_hw00007
11153,17305,28458,39,0.6080891137817134,1224234549.0,6.174544517614234,16.088023080616935,0.09375942116370214,8.185704234263698e-06,-84.0692328905913,47.404041065057925,555.5511091779034,4015,34705,0.11568938193343899,11.786825184368661,u00005s00001_hw00007
8634,14640,23274,36,0.6290281000257798,651741124.0,9.147320339189783,21.331420966739323,0.08829712683952348,3.0149488579293412e-05,-61.889702049405116,34.228745200496874,640.7223663725999,4352,34272,0.12698412698412698,5.597895423765317,u00006s00001_hw00007
9453,13395,22848,34,0.586265756302521,11483982.0,5.285714285714286,17.78558398324944,0.06612184249628529,0.002806759876385249,-86.03606367066767,107.19360960232677,484.82696629213484,3378,32502,0.10393206571903267,0.14767451431577677,u00007s00001_hw00007
15303,17822,33125,43,0.5380226415094339,29847962.0,4.375,13.729359487833896,0.10304616849119468,0.001213437943130228,-73.96224106185542,111.84147487903226,457.3405154203633,2073,36264,0.05716412971542025,0.4821708117475815,u00008s00001_hw00007
13074,13025,26099,66,0.4990612667151998,66240348.0,5.240151021248056,14.841339734380378,0.09389952153110048,0.0003591913954817662,-58.05988793175753,76.83776852536886,324.8241758241758,3707,27571,0.13445286714301258,0.9308835064645997,u00009s00001_hw00007
5624,13386,19010,33,0.7041557075223567,11187756.0,8.553142697278002,22.64770114927647,0.060138155221454694,0.0030890022320206457,-73.48593124253198,41.50712730374439,299.1815107102593,3171,35276,0.0898911441206486,0.13182120384887666,u00010s00001_hw00007
8548,13790,22338,36,0.6173336914674545,42439632.0,6.155536126122565,16.153442750453927,0.10214231063504207,0.0007886415223551254,-63.4359697111311,56.99538020391213,401.94817239498093,2457,33504,0.07333452722063037,0.769209111509554,u00011s00001_hw00007
7299,16760,24059,34,0.6966208071823434,148796144.0,6.961262115752807,18.073288503054613,0.06598334401024984,0.0001932578687267444,-74.15352230991057,85.14461940573446,547.2478670857656,3766,30577,0.1231644700264905,1.5987729357603482,u00012s00001_hw00007
9203,20960,30163,23,0.694891091734907,16893125.0,5.04975236810514,12.423889015250055,0.0805870236869207,0.002083745112207419,-66.41144197496888,77.52151175984136,429.3271095152603,2461,35383,0.06955317525365289,0.2835659188650773,u00013s00001_hw00007
10574,14042,24616,40,0.5704419889502762,869439094.0,6.42460072203489,19.881454602814873,0.05473684210526316,6.4569093123777274e-06,-73.81002670497054,58.83505920329503,430.2041800643087,3816,31759,0.1201549167165213,9.90103649534009,u00014s00001_hw00007
11729,16414,28143,43,0.5832356180933091,9687433.0,5.382987809821112,12.469066468188192,0.07943037974683544,0.0034738100184378965,-57.597650148097735,64.92091687035118,467.888583218707,1734,33651,0.0515289293037354,0.19278712649512045,u00015s00001_hw00007
