F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,id
10978,11204,22182,21,0.5050942205391759,160447.4897315494,0.0,4.770787118749775,16.910603197209483,0.22379032258064516,0.023081277865459323,-11.570806715135754,27.82334023421416,442.75621222296843,7619,6428,1.1852831362787803,0.004132950739789779,u00001s00001_hw00002
17963,14513,32476,23,0.4468838526912181,124648.42995079738,0.0,3.3000946956110213,9.37749955571351,0.21651090342679127,0.025723627899604688,-51.46734112749711,15.85695474705427,560.8199273482096,6421,5923,1.084079014013169,0.0042057721787280115,u00002s00001_hw00002
25678,22746,48424,29,0.4697257558235586,177261.8807114056,0.0,2.125,6.86309265683675,0.2165562913907285,0.021813158872581517,-53.136614303552705,29.88971050041646,706.9539887454486,7068,5447,1.2975950064255553,0.006099399849350812,u00003s00001_hw00002
7109,12166,19275,18,0.6311802853437095,115801.66618259723,-0.0357142857142857,3.5970509462897633,13.0256579477463,0.1188118811881188,0.03414830882239706,-16.462553324012337,38.83760985468027,464.31168831168833,7511,6996,1.0736134934248143,0.0030302365284758845,u00004s00001_hw00002
12985,14757,27742,33,0.5319371350299186,129243.93739230002,0.0,2.75,11.221335363803131,0.22817764165390506,0.028644647899413664,-31.916090457295194,83.43603651858832,537.3770408163265,7547,5509,1.3699400980214196,0.0038437027884107877,u00005s00001_hw00002
13870,9323,23193,25,0.4019747337558746,140755.96784482745,-0.017857142857143238,4.759858191164943,19.379888949316165,0.2392886014551334,0.02281237365548982,-11.042701971937772,69.89645665052262,578.6688206785137,8321,7036,1.1826321773735076,0.003488714100372515,u00006s00001_hw00002
31036,16741,47777,35,0.3503987274211441,177455.96405631813,0.0,3.5484978138212058,7.380337916051138,0.14723097703737056,0.02049600948795296,-54.10237670084606,51.48305652018397,421.64221422142214,6822,6456,1.0566914498141264,0.005150638234096003,u00007s00001_hw00002
25105,16770,41875,41,0.4004776119402985,201385.34258890618,0.0,3.335033579979643,12.999305472821463,0.20269662921348314,0.01900017889924512,-17.60305055716854,86.54486831635853,399.0682839173405,7269,6174,1.1773566569484937,0.0058120448356831,u00008s00001_hw00002
12375,12219,24594,25,0.4968284947548183,136981.6151651893,0.0,2.0920195606553187,16.427203830485688,0.32614056720098644,0.02148628695496826,-6.690511657269664,49.140624385000805,372.2963647566235,5915,5540,1.0676895306859207,0.005194385593117455,u00009s00001_hw00002
14708,11901,26609,21,0.44725468826336956,125163.41232548583,-0.01374992660343377,4.155192534648665,9.552895337307152,0.1208860759493671,0.03063831940602147,-63.53678718606998,33.67119508518123,288.5452245414295,6645,6246,1.06388088376561,0.0038510143689590172,u00010s00001_hw00002
14441,11994,26435,22,0.4537166635142803,132371.97396902158,0.0,4.571428571428571,8.728785263451435,0.20652856246076584,0.04383322027176396,65.19612187065967,0.973575678311491,438.0828105395232,6454,4924,1.31072298943948,0.004851971140018318,u00011s00001_hw00002
4477,10367,14844,12,0.6983966585825923,103320.82182517476,0.0,4.92288975586512,19.669533146398543,0.1503267973856209,0.041579705542960796,6.052065384676972,53.11057764531997,454.79825834542817,8055,7115,1.1321152494729445,0.002424493521422694,u00012s00001_hw00002
14843,15270,30113,21,0.5070899611463487,142693.4478467038,0.0,2.857142857142857,9.715334884912036,0.2220029600394672,0.034903100531146675,-27.61046648870733,35.59748666396792,479.6405325443787,6567,5922,1.1089159067882473,0.004839444656762866,u00013s00001_hw00002
13548,11805,25353,25,0.46562536977872443,122635.8770923604,-0.0027650941017711705,4.571428571428571,10.145673485689047,0.16464582003828973,0.026930645399260413,-24.653491032543663,45.21998176688649,435.7359693877551,7056,6407,1.101295458092711,0.003850607576452597,u00014s00001_hw00002
23123,14200,37323,27,0.38046244942796664,143720.52824697355,0.0,3.5355339059327378,8.074065801394411,0.18037135278514588,0.022509615402332435,-27.288100440292997,67.43477274725522,438.5217391304348,7039,6095,1.1548810500410172,0.004395720374150939,u00015s00001_hw00002
32814,27572,60386,24,0.4565958997118537,108541.04109986972,0.0,0.8003905296791061,5.167506652148597,0.3195848128926523,0.05738999539032581,5.518482079237241,527.3048759337975,610.50436919716,6360,5017,1.267689854494718,0.004771289172467515,u00016s00001_hw00002
42893,41297,84190,33,0.4905214396009027,217534.8398581362,0.0,1.1428571428571428,4.625,0.3226982680036463,0.01598338744900001,-27.92288075587583,308.2391018845687,647.793109733868,7505,6072,1.2360013175230566,0.005790592623427109,u00017s00001_hw00002
15524,20210,35734,19,0.5655678065707729,137073.20632423903,0.0,2.62797450520358,9.733109410806664,0.19858420268256333,0.028002932696727812,-24.447363345692004,61.775518780087644,561.8420856610801,7729,7878,0.9810865701954811,0.002640042155023667,u00018s00001_hw00002
25011,15273,40284,31,0.3791331546023235,144811.33258110602,0.0,2.8531780526283317,5.428571428571429,0.056240749876665025,0.03181062760376683,-64.20733639772669,165.38582292202096,172.78599605522683,5854,5344,1.095434131736527,0.005388060403954811,u00019s00001_hw00002
12421,12267,24688,32,0.49688107582631236,156942.29009580577,-0.04001879162643007,4.540071023448773,13.607740700229368,0.171990171990172,0.028344293023232558,-5.330267867470227,6.544221953767742,541.4125230202578,8070,6674,1.2091699130955949,0.0036596325151063923,u00020s00001_hw00002
26213,18754,44967,49,0.4170614005826495,169002.02858651854,-0.0005344730785310503,3.0026030373660784,8.178243062980558,0.09357429718875503,0.02089501320578889,-99.88172872150687,66.78443570522883,121.10718586912887,6724,5237,1.2839411877028832,0.005849570363265849,u00021s00001_hw00002
9141,12297,21438,18,0.5736076126504338,104599.58921452651,-0.032560645246669795,4.615855548972432,10.285714285714286,0.12974296205630356,0.0357625565256761,-20.269088756421205,19.173422878790895,412.0489296636086,7122,6188,1.1509372979961214,0.0033681108528372415,u00022s00001_hw00002
13065,17507,30572,24,0.572648174800471,134821.0467128291,0.0,2.451679188841303,9.1894135160252,0.25548387096774194,0.029456481538496594,-44.55872491006261,107.27948082976735,537.0657781599313,7996,5244,1.524790236460717,0.004605275708950309,u00023s00001_hw00002
22034,17340,39374,32,0.4403921369431605,138926.4607080334,0.0,2.3048861143232218,7.5545833154908495,0.2526041666666667,0.03186543505980756,-42.689393377483356,75.01255957753276,471.5245119305857,7818,5628,1.3891257995735609,0.004316932462710614,u00024s00001_hw00002
19333,19185,38518,24,0.4980788202918116,179320.24730489717,0.0,2.8993533761858004,7.03659915334216,0.20290423861852433,0.016969704826039995,-68.26321977012208,121.3471893443189,613.0415849352687,7948,6927,1.1473942543669697,0.004470818730762375,u00025s00001_hw00002
9938,11217,21155,19,0.5302292602221697,109887.62275420099,0.0,4.716449719776908,10.25,0.11768661735036987,0.050679087050674455,7.4698496280727955,2.289039990774001,426.00336021505376,6556,6067,1.0805999670347783,0.00344567178418688,u00026s00001_hw00002
12842,16860,29702,25,0.5676385428590667,108046.26353636652,0.0,2.6355167239713313,7.060018130625698,0.23369079535299375,0.04886532697516866,-16.093944641703164,15.037779978230677,428.1625725770433,6190,5944,1.041386271870794,0.003811596467562095,u00027s00001_hw00002
17312,17953,35265,29,0.5090883312065788,160942.3499535045,0.0,3.1340428968881504,8.286761005961257,0.24328859060402686,0.03461045334651991,31.020919118468942,52.65734046461398,584.6083857442349,7876,7241,1.0876950697417485,0.0036598714239018176,u00028s00001_hw00002
10750,27965,38715,16,0.7223298463127986,95274.64719078287,0.0,1.875,5.1648301116040995,0.2686406460296097,0.040350362254219264,-22.841793113470807,222.0186301003967,683.4313778256189,7079,7415,0.9546864463924477,0.0024626826192427555,u00029s00001_hw00002
21000,25290,46290,28,0.5463383020090732,132178.58330026703,0.0,2.2177392423228603,5.0,0.14383561643835616,0.02477545292087524,-50.67369621958626,177.69987239344832,522.983030663888,7317,6593,1.109813438495374,0.0032668711041119953,u00030s00001_hw00002
