Task;Model;Target;MSE;RMSE;R2;CV_MSE;CV_STD
house;Linear Regression;TOTAL DASS;3.892.299.468.380.020;19.728.911.445.845.200;-0.5916612325261605;37.523.013.531.506.200;1.322.220.744.241.360
house;Linear Regression;Depression;6.483.105.834.232.870;8.051.773.614.696.870;-0.29790304639857346;5.233.214.248.153.690;14.387.041.953.703.400
house;Linear Regression;Stress;6.703.352.795.252.720;8.187.400.561.382.540;-0.9531351669621255;5.233.214.248.153.690;14.387.041.953.703.400
house;Linear Regression;Anxiety;37.218.685.729.222.200;6.100.711.903.476.690;-0.24884571005260958;5.233.214.248.153.690;14.387.041.953.703.400
house;Linear Regression;Depression;1.671.883.752.431.520;4.088.867.511.220.580;0.6652926743772777;6.653.232.654.896.610;6.379.687.763.494.210
house;Linear Regression;Anxiety;50.192.830.915.587.200;22.403.756.585.802.100;0.8315816361158836;5.950.333.770.028.950;12.278.638.481.277.000
house;Linear Regression;Stress;18.070.534.714.827.400;4.250.945.155.471.590;0.4734844201794878;995.744.456.505.992;8.210.298.781.521.540
house;Ridge Regression;TOTAL DASS;3.013.305.511.881.440;1.735.887.528.580.530;-0.23221802535539582;34.426.572.532.941.400;12.101.627.952.686.100
house;Ridge Regression;Depression;5.660.773.941.275.490;7.523.811.495.030.620;-0.1332740712884697;4.801.396.223.725.040;12.753.100.887.381.900
house;Ridge Regression;Stress;5.109.595.930.355.030;7.148.143.766.289.980;-0.4887671595638765;4.801.396.223.725.040;12.753.100.887.381.900
house;Ridge Regression;Anxiety;3.025.999.185.709.380;5.500.908.275.648.100;-0.0153518394468104;4.801.396.223.725.040;12.753.100.887.381.900
house;Ridge Regression;Depression;16.725.792.579.035.600;408.971.790.946.951;0.6651534357632505;66.537.005.058.849.000;63.803.308.110.395.700
house;Ridge Regression;Anxiety;4.930.432.758.742.660;2.220.457.781.346.600;0.8345629438864307;5.879.690.201.182.820;12.069.469.634.821.000
house;Ridge Regression;Stress;1.806.146.923.666.030;4.249.878.731.994.630;0.47374855821241424;9.955.302.242.112.190;8.212.593.261.435.860
house;Lasso Regression;TOTAL DASS;24.639.583.333.333.300;1.569.700.077.509.500;-0.007575853190630255;3.217.395.061.728.390;11.201.482.109.956.600
house;Lasso Regression;Depression;5.219.997.610.464.750;7.224.955.093.607.670;-0.04503165211973581;4.609.175.965.672.700;11.622.039.945.838.600
house;Lasso Regression;Stress;4.271.552.881.807.740;6.535.711.806.534.720;-0.2445891490159251;4.609.175.965.672.700;11.622.039.945.838.600
house;Lasso Regression;Anxiety;2.934.665.512.933.270;5.417.255.313.286.670;0.015294504773840312;4.609.175.965.672.700;11.622.039.945.838.600
house;Lasso Regression;Depression;1.730.466.106.305.030;4.159.887.145.470.460;0.6535646203393273;671.057.252.134.315;6.464.180.286.475.610
house;Lasso Regression;Anxiety;5.025.065.215.334.960;2.241.665.723.370.670;0.8313876211921574;5.833.451.390.939.510;0.9893935385606157
house;Lasso Regression;Stress;18.002.236.546.160.500;4.242.904.258.424.940;0.4754744027917258;10.012.950.993.381.200;8.181.466.919.823.780
house;Elastic Net;TOTAL DASS;29.247.448.952.740.800;17.101.885.554.739.500;-0.1960033144042843;34.145.500.892.989.500;12.044.480.227.587.300
house;Elastic Net;Depression;5.306.685.999.397.990;7.284.700.405.231.490;-0.062386470467714394;4.638.446.924.346.510;11.667.553.429.134.600
house;Elastic Net;Stress;4.390.216.246.871.190;662.587.069.513.977;-0.27916372660635647;4.638.446.924.346.510;11.667.553.429.134.600
house;Elastic Net;Anxiety;29.502.924.848.196.000;5.431.659.493.027.520;0.010050988937913119;4.638.446.924.346.510;11.667.553.429.134.600
house;Elastic Net;Depression;17.282.445.393.094.300;4.157.216.062.835.110;0.6540093730003365;6.712.873.333.759.740;645.162.723.521.174
house;Elastic Net;Anxiety;49.554.192.431.337.600;2.226.077.097.302.280;0.8337245407233491;58.561.139.715.249.200;11.600.408.129.377.800
house;Elastic Net;Stress;1.792.856.022.284.010;423.421.305.827.189;0.4776210870323542;10.004.449.121.997.700;8.209.424.493.572.300
house;Random Forest;TOTAL DASS;33.992.072.144.807.600;1.843.693.904.768.560;-0.3900231440475672;44.463.172.762.806.900;935.076.349.341.911
house;Random Forest;Depression;6.703.988.139.592.780;8.187.788.553.445.170;-0.34212318167823885;619.503.982.163.533;8.176.962.802.889.850
house;Random Forest;Stress;799.315.041.074.858;8.940.442.053.248.020;-1.328.939.508.167.750;619.503.982.163.533;8.176.962.802.889.850
house;Random Forest;Anxiety;22.554.315.832.537.200;4.749.138.430.551.080;0.24320646957932224;619.503.982.163.533;8.176.962.802.889.850
