Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
house;Linear Regression;total;TOTAL DASS;4.458.643.745.231.280;21.115.500.811.563.200;-0.1564674040388856;3.658.845.695.384.470;6.289.140.534.937.920
house;Linear Regression;multi-output;Depression;5.502.971.285.964.740;7.418.201.457.202.910;-0.19919041594796139;52.317.547.543.648.400;8.448.221.189.482.710
house;Linear Regression;multi-output;Stress;8.573.561.198.193.690;9.259.352.676.182.980;-0.11514197178899388;52.317.547.543.648.400;8.448.221.189.482.710
house;Linear Regression;multi-output;Anxiety;5.502.932.354.587.680;7.418.175.216.714.470;-0.2816476388290359;52.317.547.543.648.400;8.448.221.189.482.710
house;Linear Regression;subscales;Depression;5.502.971.285.964.740;7.418.201.457.202.910;-0.19919041594796139;37.245.858.251.734.400;9.901.308.875.229.200
house;Linear Regression;subscales;Anxiety;5.502.932.354.587.680;7.418.175.216.714.470;-0.2816476388290359;4.633.837.534.102.880;12.471.949.848.208.400
house;Linear Regression;subscales;Stress;8.573.561.198.193.690;9.259.352.676.182.980;-0.11514197178899388;7.336.840.903.818.190;13.134.960.688.794.800
house;Ridge Regression;total;TOTAL DASS;3.891.837.624.743.940;1.972.774.093.692.410;-0.009451217007925727;2.811.485.566.578.500;7.493.758.904.638.680
house;Ridge Regression;multi-output;Depression;47.264.500.932.132.300;6.874.918.249.123.570;-0.02997332871672298;4.036.375.429.089.350;13.553.878.619.095.700
house;Ridge Regression;multi-output;Stress;7.639.779.629.614.260;8.740.583.292.672.320;0.006312695126461265;4.036.375.429.089.350;13.553.878.619.095.700
house;Ridge Regression;multi-output;Anxiety;458.250.078.308.854;6.769.417.096.832.290;-0.06727666817152556;4.036.375.429.089.350;13.553.878.619.095.700
house;Ridge Regression;subscales;Depression;4.835.676.862.378.650;6.953.903.121.541.630;-0.05377568710485403;337.754.655.556.178;1.157.837.809.527.090
house;Ridge Regression;subscales;Anxiety;4.680.485.035.449.690;6.841.407.044.935.780;-0.0900974621753643;3.304.985.655.920.290;16.900.921.314.283.300
house;Ridge Regression;subscales;Stress;7.635.558.410.512.940;873.816.823.511.252;0.006861738689944774;5.417.061.250.287.090;12.215.597.161.825.700
house;Lasso Regression;total;TOTAL DASS;38.522.232.459.635.500;1.962.708.140.800.240;0.0008238218623078941;2.812.754.905.958.780;6.866.485.719.474.820
house;Lasso Regression;multi-output;Depression;4.407.264.923.363.480;66.387.234.641.634.900;0.03958251242909039;408.131.157.307.683;11.736.997.729.544.900
house;Lasso Regression;multi-output;Stress;7.796.349.908.857.530;8.829.694.167.329.650;-0.014052015159351061;408.131.157.307.683;11.736.997.729.544.900
house;Lasso Regression;multi-output;Anxiety;45.714.201.923.215.400;6.761.227.841.392.080;-0.06469596899547447;408.131.157.307.683;11.736.997.729.544.900
house;Lasso Regression;subscales;Depression;4.407.264.923.363.480;66.387.234.641.634.900;0.03958251242909039;3.403.739.533.482.950;9.476.604.262.074.870
house;Lasso Regression;subscales;Anxiety;4.694.620.883.183.180;6.851.730.353.117.510;-0.09338973885678992;3.269.613.989.915.930;10.622.645.971.864.100
house;Lasso Regression;subscales;Stress;772.818.543.036.754;8.791.009.856.875.110;-0.005186029463078334;5.452.644.283.823.690;15.289.906.785.823.700
house;Elastic Net;total;TOTAL DASS;38.053.760.509.456.800;19.507.373.095.693.000;0.012974883284687433;2.794.497.733.933.680;3.679.799.697.364.270
house;Elastic Net;multi-output;Depression;45.450.749.882.018.300;6.741.717.131.563.610;0.009551370998859388;4.053.261.198.919.000;58.429.616.112.683.800
house;Elastic Net;multi-output;Stress;7.675.424.766.300.960;876.095.015.754.625;0.0016764200605217106;4.053.261.198.919.000;58.429.616.112.683.800
house;Elastic Net;multi-output;Anxiety;4.600.235.815.193.950;6.782.503.826.164.750;-0.07140720450339866;4.053.261.198.919.000;58.429.616.112.683.800
house;Elastic Net;subscales;Depression;45.450.749.882.018.300;6.741.717.131.563.610;0.009551370998859388;33.658.142.032.447.800;3.625.027.368.158.030
house;Elastic Net;subscales;Anxiety;4.645.920.284.630.850;6.816.098.799.629.340;-0.08204723941790149;3.257.430.602.019.740;5.769.304.115.747.670
house;Elastic Net;subscales;Stress;772.818.543.036.754;8.791.009.856.875.110;-0.005186029463078334;5.452.644.283.823.690;8.181.834.691.787.980
house;Random Forest;total;TOTAL DASS;41.923.090.204.314.400;20.475.128.865.116.900;-0.08738643561118731;3.132.103.608.457.410;8.386.004.942.886.150
house;Random Forest;multi-output;Depression;4.746.804.189.550.160;6.889.705.501.362.280;-0.034408830191132944;4.404.004.014.648.230;0.9744245128546932
house;Random Forest;multi-output;Stress;8.189.613.663.727.710;9.049.648.426.169.770;-0.06520286238622641;4.404.004.014.648.230;0.9744245128546932
house;Random Forest;multi-output;Anxiety;54.257.821.954.336.500;7.365.990.901.048.990;-0.2636791607624991;4.404.004.014.648.230;0.9744245128546932
house;Random Forest;subscales;Depression;4.746.804.189.550.160;6.889.705.501.362.280;-0.034408830191132944;367.423.378.654.518;13.185.024.164.808.300
house;Random Forest;subscales;Anxiety;5.378.288.103.318.520;73.336.812.743.113.600;-0.2526176598943397;36.106.614.122.466.900;13.009.993.503.920.300
