feature,mean_abs_shap,signed_mean_shap
pen_up_path_length,0.3298488796040776,0.22606410106560415
median_acceleration,0.32964336531074395,0.2199635737885366
F3_total_time,0.09089815646433864,-0.011625634677635294
aspect_ratio,0.07657679783356725,0.01887803386058467
height,0.07504222382426029,0.024015152966482437
mean_pressure,0.07196558876555084,0.0045589760954227255
path_length,0.06814542961602597,0.013432541497412189
duty_cycle,0.05831545703751377,0.011077917035599348
p95_pen_up_speed,0.047212046431958594,0.003433124448566519
stop_ratio,0.03757014942491284,0.01920493464068152
direction_concentration,0.02993278115229535,-0.006746209763928649
F1_in_air_time,0.025786394831343373,-0.006166849188048451
ink_density,0.022909127049537657,0.0008557904023678501
F2_on_paper_time,0.02263879204158932,0.0012273964055073165
dominant_angle,0.021582459281609446,-0.021582459281609446
median_speed,0.01827449805875088,-0.004897788829119568
p95_speed,0.018003612403565242,0.004207165226370376
median_pen_up_speed,0.01554649649863265,8.243105248479904e-05
std_slant,0.013249010193158722,-0.003087439423021576
mean_slant,0.011246939323913735,-0.0001988196271419805
abs_mean_slant,0.009139356945656396,-0.00206640696799274
straightness,0.008367334636707541,0.0017521094643554844
pen_up_ratio,0.002615288878546975,0.0024171073126489635
F4_stroke_count,0.0,0.0
width,0.0,0.0
