feature,mean_abs_shap,signed_mean_shap
F3_total_time,0.3169081067011482,0.07126616920974066
pen_up_path_length,0.16298663018505977,0.10764083046934698
p95_pen_up_speed,0.139991558311414,-0.025991794415691633
duty_cycle,0.1359618718389272,0.057648776465579504
F1_in_air_time,0.07582190216817918,0.0433112196145757
median_acceleration,0.07502281513604858,0.049500254657559604
path_length,0.0718708761512619,-0.006026721915105366
std_slant,0.05520660713836982,-0.016282881650122857
abs_mean_slant,0.029695839964568895,-0.005064177587072785
median_speed,0.029583471458503485,-0.001594129628231956
F2_on_paper_time,0.027195975048127007,0.005177424496524693
straightness,0.026698643331662636,-0.010810575340110673
median_pen_up_speed,0.02404953200917761,0.0049942699564565944
mean_slant,0.023996452705810613,9.191305218595076e-05
p95_speed,0.02325298961481827,0.003502989614818256
stop_ratio,0.0210469527021047,0.007698996695480065
ink_density,0.01986347937666094,0.0029275011191810985
width,0.0174665362008834,0.004604776384794783
aspect_ratio,0.017116577557402934,0.007570327048586944
direction_concentration,0.014322041309177434,0.00010515749100243916
F4_stroke_count,0.014121237133901326,-0.0010461581214491083
mean_pressure,0.013678558034419482,-0.000511374450572638
dominant_angle,0.0,0.0
height,0.0,0.0
pen_up_ratio,0.0,0.0
