feature,mean_abs_shap,signed_mean_shap
straightness,1.2547063909172878,-0.26068593550818453
F3_total_time,0.9778916773731973,0.06162335532976581
pen_up_path_length,0.8766777756961669,0.553353660976697
p95_pen_up_speed,0.8159277780707245,0.08927518203179945
direction_concentration,0.6723536018172415,-0.08229389923782172
aspect_ratio,0.64069368770474,0.27865831706024413
p95_speed,0.6380497474071073,0.1942037440348755
stop_ratio,0.5984334063013175,0.07025320662478524
ink_density,0.5959553400716079,-0.1935579281203518
median_speed,0.5625729667788618,0.21622134073724184
F1_in_air_time,0.5198565621988915,0.13087748334037017
median_acceleration,0.5084624487226719,0.23758594602622998
mean_pressure,0.4554350082885182,0.09857823458751094
std_slant,0.44878485576205046,-0.07459704017953049
mean_slant,0.4054698830269651,0.2303096044853258
duty_cycle,0.2879926849661853,0.09878501377429842
width,0.27499827304377933,0.10999903452850772
F2_on_paper_time,0.195544757944217,0.02547162323305829
height,0.1933852475961549,-0.053756578407765904
abs_mean_slant,0.1608286100838383,-0.013949507492615597
F4_stroke_count,0.16068626492836824,0.007724874742189367
pen_up_ratio,0.15973017402874354,0.04675026316080884
median_pen_up_speed,0.12755185101834215,-0.015427946308811695
dominant_angle,0.12477519183716616,-0.003794393655662097
path_length,0.10795968437042798,0.027179621863314837
