feature,mean_abs_shap,signed_mean_shap
straightness,0.8011023882084818,-0.17555247826922915
mean_pressure,0.5689758539521556,0.18038917147754488
median_speed,0.3377697503943956,0.13211788611762654
ink_density,0.32565232625510426,-0.08958511689743999
F3_total_time,0.3162825791881785,-0.013352863187910265
pen_up_path_length,0.2697977633935697,0.0294803461910818
F1_in_air_time,0.26607006327837857,-0.04738922449599005
p95_pen_up_speed,0.24747578281620558,0.011129667527661717
aspect_ratio,0.23719333205414148,0.10028268910942337
direction_concentration,0.20329730459026546,-0.05573907266755602
stop_ratio,0.20020982093240167,0.03811371730858555
std_slant,0.1868919168646863,-0.06079885559513885
p95_speed,0.17163982174459633,0.034368401954493234
median_acceleration,0.1633047093101762,0.06954211714299134
F4_stroke_count,0.11705487918641713,0.00013614214560886517
pen_up_ratio,0.10970862322938892,0.010065974401271695
abs_mean_slant,0.09028586961690496,-0.01636904981526297
dominant_angle,0.0843164509876225,-0.012812900829201555
width,0.07888551068087969,0.033559970054962994
mean_slant,0.07838540506626593,-0.02203380121404575
duty_cycle,0.07665015461666677,-0.005253388546229582
F2_on_paper_time,0.06655890966538226,-0.003769248432245554
median_pen_up_speed,0.05611891588110415,-0.01932586273221332
height,0.041937720007826265,-0.0035337593368484476
path_length,0.03737058460142603,0.0043583246489193395
