feature,mean_abs_shap,signed_mean_shap
ink_density,0.5804262199466079,0.043772035012706954
straightness,0.4866922829566325,0.24676314090749768
pen_up_ratio,0.4299953238893239,-0.055481200981669594
median_pen_up_speed,0.3427229970957007,0.12835885212017217
width,0.2862918284650088,-0.03536729970768712
p95_pen_up_speed,0.258431162998267,0.04575444694704367
dominant_angle,0.18487570495952713,0.08638283459345149
abs_mean_slant,0.16164862674406127,0.16164862674406127
std_slant,0.13720317874880614,0.013877971534613868
F3_total_time,0.10689915195469334,0.03951136437430002
F4_stroke_count,0.09314173031894665,0.03844560756635833
duty_cycle,0.0870948733587996,-0.016147470522656696
direction_concentration,0.08622410006742656,0.024623570226547202
F1_in_air_time,0.08470182748919709,0.024299150821232778
mean_pressure,0.08108160938795149,0.04699533931729156
aspect_ratio,0.07018902157690052,-0.03246450617799341
height,0.06998732421108253,0.004334949177611041
median_speed,0.06239311260528295,0.009866060831953665
mean_slant,0.05282860499242702,0.011320109254479302
p95_speed,0.043239389804748764,-0.0065173919888310925
path_length,0.03976453751777695,0.003862138027815959
median_acceleration,0.02535639018653688,0.025303384973873515
stop_ratio,0.023609708468909966,-0.02141942516636736
F2_on_paper_time,0.0,0.0
pen_up_path_length,0.0,0.0
