feature,mean_abs_shap,signed_mean_shap
ink_density,2.2467819292323563,-0.09099324263726988
duty_cycle,1.2375403327408543,0.31685668338264195
mean_pressure,0.7246268446983094,0.22662130899617564
F1_in_air_time,0.1735254618635138,0.12705852241403492
F2_on_paper_time,0.0,0.0
path_length,0.0,0.0
median_acceleration,0.0,0.0
F3_total_time,0.0,0.0
F4_stroke_count,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
dominant_angle,0.0,0.0
stop_ratio,0.0,0.0
direction_concentration,0.0,0.0
width,0.0,0.0
height,0.0,0.0
straightness,0.0,0.0
aspect_ratio,0.0,0.0
mean_slant,0.0,0.0
std_slant,0.0,0.0
abs_mean_slant,0.0,0.0
pen_up_path_length,0.0,0.0
median_pen_up_speed,0.0,0.0
p95_pen_up_speed,0.0,0.0
pen_up_ratio,0.0,0.0
