feature,mean_abs_shap,signed_mean_shap
mean_pressure,0.7530301954633707,-0.13248274239875935
F2_on_paper_time,0.50709943596399,0.15231606587346172
duty_cycle,0.4424448868143701,0.174848655100884
median_acceleration,0.3801961103001152,-0.035834864614748434
stop_ratio,0.3797343125979692,-0.12048435284200956
p95_speed,0.3783303246223983,-0.071191993940656
pen_up_ratio,0.3768848849421404,-0.20760240564317956
direction_concentration,0.35964606390054676,0.02513321377279108
p95_pen_up_speed,0.3568046221771003,0.04542789148368271
dominant_angle,0.3460557101157814,0.02899047813864001
width,0.3351573942835288,0.14898942172011292
aspect_ratio,0.33480486586622504,0.14573665224393162
F1_in_air_time,0.3192593035444151,0.009092591475537067
abs_mean_slant,0.2998614504766708,0.07053519372262179
F4_stroke_count,0.29829957077531655,-0.1797427364199993
F3_total_time,0.29588250975385233,0.04446904803776468
height,0.2799803577717106,0.011680884640849374
mean_slant,0.2707649990677052,0.014705894606749165
median_pen_up_speed,0.26190921625730795,0.024563821913973976
std_slant,0.24510865086538425,0.054348990103025616
straightness,0.23477003482259048,0.03631128976787233
ink_density,0.2303887784442931,-0.02467386626183245
path_length,0.2160004832339952,-0.019012098487317435
median_speed,0.18461233487133702,0.029615822879642744
pen_up_path_length,0.15767601736343387,-0.12109794454547244
