feature,mean_abs_shap,signed_mean_shap
ink_density,1.8617734837095008,-0.14859917373109333
median_pen_up_speed,0.9913839558731521,0.2828525603092744
width,0.7988645488015458,-0.06502742857404128
straightness,0.7304249238200551,0.30112350075440114
p95_pen_up_speed,0.681774437892317,0.030083885343750668
dominant_angle,0.6566208372520072,0.13314975717904368
pen_up_ratio,0.6217220093788551,-0.1106727233179159
mean_pressure,0.5146773424264338,0.1410699337831572
aspect_ratio,0.49897771714459876,-0.0021111311454223678
height,0.4966800109813279,0.2060895569260558
F4_stroke_count,0.48718124864435375,0.07471234388790303
abs_mean_slant,0.4834823634746389,0.4834823634746389
std_slant,0.3923972175704876,0.011714502330116817
direction_concentration,0.36604339093665694,-0.0799573703379736
p95_speed,0.3392499456222493,-0.02874681350300692
median_speed,0.3030120847560057,0.016311795777890138
pen_up_path_length,0.2689613652788798,-0.13668045436174406
F1_in_air_time,0.26234290997076337,0.04453974300404006
duty_cycle,0.2582676052913064,0.031924315076824104
stop_ratio,0.2280229959615306,-0.06933513020070471
mean_slant,0.21154834775457731,-0.044144458839472454
F3_total_time,0.19620595165918842,0.08005159886364868
F2_on_paper_time,0.17889842624854577,0.0730252899132019
median_acceleration,0.17095797903489315,0.13343492028263126
path_length,0.16109342293524126,0.0554824677761569
