feature,mean_abs_shap,signed_mean_shap
width,0.4288574516507185,-0.03517349205157865
ink_density,0.4132224431757313,0.04498737562625294
std_slant,0.37291256166945375,0.1325660190196189
pen_up_ratio,0.3623582278071979,-0.032866111689024806
direction_concentration,0.32514578382581366,-0.09815295785972708
mean_pressure,0.3175897083526936,0.12218357336485602
height,0.25001357876850194,0.14385166446897923
median_speed,0.2358841709965949,0.022102093602282383
straightness,0.22975872912994688,0.06659749313407091
p95_speed,0.20429205110571452,-0.03301971506868752
F3_total_time,0.18415920040070582,0.04849053528188684
path_length,0.1684641749899384,0.05654938498653047
abs_mean_slant,0.16602423579451747,0.02944066984449782
dominant_angle,0.1625030769197825,0.07068794471827998
aspect_ratio,0.15587223939589084,-0.06904167836528559
F4_stroke_count,0.15431222999176025,0.04798708119522684
p95_pen_up_speed,0.13259261947895662,0.030516153486347213
median_pen_up_speed,0.12181454403253612,0.00883653740921709
pen_up_path_length,0.10905747722226228,-0.034016024492731896
F2_on_paper_time,0.09582667702076164,0.026322280106720778
median_acceleration,0.09453886162392473,0.07093518826276445
duty_cycle,0.0757981148940192,0.00415028209845284
stop_ratio,0.06847345526797262,-0.030095819984878876
mean_slant,0.05958727730496638,-0.03320847079268531
F1_in_air_time,0.03687766894951849,0.0010055426157170948
