feature,mean_abs_shap,signed_mean_shap
median_pen_up_speed,0.6165505512904743,0.16078243802932077
aspect_ratio,0.5812392315779684,0.010619998272870553
ink_density,0.5709524147573983,0.005435372334861305
dominant_angle,0.5621298069611004,0.23772007250229393
mean_pressure,0.4956700437058167,0.07366785626996773
pen_up_ratio,0.44938869570041456,-0.08172323813983903
abs_mean_slant,0.376701175522825,0.376701175522825
direction_concentration,0.21922536801938658,0.008707101138788071
F1_in_air_time,0.21916448724515653,-0.0026644610543862042
std_slant,0.21692763235926488,0.0985339337648002
duty_cycle,0.19646328008060782,0.017233469863551617
mean_slant,0.18984466040071396,-0.03563975231824211
width,0.17705073960709047,-0.02216574463291633
p95_pen_up_speed,0.16455390452712051,0.015034863443054814
stop_ratio,0.16156409089644114,0.020933219568147827
F4_stroke_count,0.14103774872016114,0.06356163359269634
straightness,0.12572965139191059,0.054543346966392584
median_speed,0.10322316280604725,0.011398375335988765
F2_on_paper_time,0.08956839439730224,0.02151228891586432
F3_total_time,0.08794367332651222,0.02648812138083893
median_acceleration,0.07326506803870486,0.01273369986738339
height,0.07168526927705592,0.023055120053385135
pen_up_path_length,0.06283784214435949,-0.01049502092260716
path_length,0.05657976200500377,0.0008546325653928049
p95_speed,0.0503380300601367,0.0007854940411053904
