feature,mean_abs_shap,signed_mean_shap
duty_cycle,0.3408112562628766,0.13051067707930727
stop_ratio,0.3148328953399299,-0.125698411280789
F1_in_air_time,0.30477710624361853,-0.08534360407805258
F3_total_time,0.2945286716626944,-0.0760184902924669
median_pen_up_speed,0.28661703000336375,0.06464691806615035
pen_up_ratio,0.26240226820707424,-0.1263375890799027
F2_on_paper_time,0.2538888291374834,-0.0005592558770671723
median_acceleration,0.2520016708438622,-0.058538324266304675
p95_pen_up_speed,0.24249069541162496,0.04872269068663393
median_speed,0.23540641880298113,0.06939048287895569
p95_speed,0.2278652754339433,0.02262721892741066
mean_pressure,0.21940029651474482,-0.040986198658054196
F4_stroke_count,0.2089313334466557,-0.09617210025179455
dominant_angle,0.20068555959458237,-0.05546299914812664
direction_concentration,0.18618259558102596,-0.04201122665299751
height,0.18039829327123716,0.04644944055649347
pen_up_path_length,0.17236818804952922,-0.08357650949616782
ink_density,0.16722139214054751,-0.0828191636083188
abs_mean_slant,0.16075757306270408,0.07040572368254212
width,0.13620865241297894,0.08135164616578787
aspect_ratio,0.12654183691723894,0.07400083309296131
mean_slant,0.10842982609424826,-0.031765383825179315
path_length,0.08361372984311218,-0.019375057619844996
straightness,0.07116165852259153,0.015260480995005809
std_slant,0.0665470120082417,0.03980954370417689
