feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.8564720102492376,0.01845481246994706
height,0.6203250625516579,-0.022244500716408967
F1_in_air_time,0.4975849979908004,0.07513615455374427
mean_pressure,0.17628021306239747,-0.06748339142436852
direction_concentration,0.1737304548079341,0.04247978457082247
p95_pen_up_speed,0.163880908121174,-0.00840447234315659
duty_cycle,0.16260575297227506,0.03862279735797095
abs_mean_slant,0.14026823825722076,-0.011303127722400684
stop_ratio,0.13508210815107444,-0.04788024264676129
F3_total_time,0.10468614775677361,0.0025609447780293023
ink_density,0.08342036098580873,0.026987026843215016
pen_up_path_length,0.08299989752084334,0.014681810041297653
aspect_ratio,0.07198612876392814,-0.04698064796160555
dominant_angle,0.060014264643558045,-0.00017798035445854411
std_slant,0.05866626761633745,0.01724555093574159
path_length,0.045231625386935155,0.015016676636232299
p95_speed,0.04212138761592391,0.014393322474939475
median_acceleration,0.04138680261940454,0.017049583786577106
mean_slant,0.0311019577160806,0.017317709896508944
F4_stroke_count,0.026798068686453617,0.007977274815540742
F2_on_paper_time,0.024349422703271416,0.013624568355911939
median_speed,0.023472136673689734,0.0069335483397854275
median_pen_up_speed,0.013838689776518044,0.010521657139264852
width,0.0,0.0
straightness,0.0,0.0
