feature,mean_abs_shap,signed_mean_shap
duty_cycle,0.44188001327111015,0.15865644900519107
aspect_ratio,0.42303503105762486,0.06366207724792348
height,0.23719980783062647,-0.06203604278333016
median_acceleration,0.22540805533205138,0.022883867892967882
pen_up_ratio,0.20565635839906107,0.027987683232860463
F4_stroke_count,0.0,0.0
F1_in_air_time,0.0,0.0
F3_total_time,0.0,0.0
F2_on_paper_time,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
path_length,0.0,0.0
stop_ratio,0.0,0.0
direction_concentration,0.0,0.0
dominant_angle,0.0,0.0
width,0.0,0.0
straightness,0.0,0.0
mean_pressure,0.0,0.0
ink_density,0.0,0.0
std_slant,0.0,0.0
mean_slant,0.0,0.0
abs_mean_slant,0.0,0.0
pen_up_path_length,0.0,0.0
median_pen_up_speed,0.0,0.0
p95_pen_up_speed,0.0,0.0
