feature,mean_abs_shap,signed_mean_shap
mean_slant,0.7511538351027466,0.008771152612925971
mean_pressure,0.7183374771914359,-0.04812028587457324
pen_up_ratio,0.5833314660944927,0.06997283850144484
p95_pen_up_speed,0.5408406919366326,-0.011007417149028096
straightness,0.47854641815430593,-0.06919539309206393
dominant_angle,0.4720701966238258,-0.023663449250550604
median_pen_up_speed,0.45570301088419707,-0.013047839940372627
duty_cycle,0.4410893900517208,-0.1175035245340415
median_acceleration,0.40464234106804675,0.043052108971548216
stop_ratio,0.40410191186584643,0.0837259842822092
aspect_ratio,0.39685452689005274,0.0074189317709773325
height,0.3940184722640559,-0.11071611262776572
direction_concentration,0.3865381874820662,-0.007936868571304814
std_slant,0.38109660397600403,-0.005173089306523138
abs_mean_slant,0.37532453045356345,-0.021552720326618476
median_speed,0.37303319561548304,-0.022480985095381427
F2_on_paper_time,0.36830008898920263,0.035004496918196806
p95_speed,0.3524896606979598,0.07150147343214204
width,0.32220694261683597,-0.10159743347634333
pen_up_path_length,0.3146310993186348,0.09981135442790011
ink_density,0.2980436285838394,0.16481028417570648
F4_stroke_count,0.290733015106525,0.02112920812187509
F3_total_time,0.24776737324397027,0.0881898326350759
path_length,0.23064632657373693,0.10300789742170738
F1_in_air_time,0.19255053441866846,0.11356450816464948
