feature,mean_abs_shap,signed_mean_shap
mean_pressure,0.7621652894306299,-0.11655987262649528
median_acceleration,0.6794898623319726,0.13507960942638592
F4_stroke_count,0.6351540853841064,-0.016778101397099912
dominant_angle,0.5585081368061519,-0.18111454441915276
mean_slant,0.449905344364377,0.015441487428247245
p95_speed,0.41585991300135167,0.054604681913372234
height,0.4154776375834888,-0.017439134633788097
aspect_ratio,0.41404190279248404,0.003277571606184745
p95_pen_up_speed,0.40052936496472075,-0.12582400176088074
pen_up_ratio,0.3876609473664986,0.07380776030005161
straightness,0.3870087256448253,-0.1021652113201371
path_length,0.3818800438799623,0.15854813148694197
stop_ratio,0.3814674661133125,0.04070005561383549
duty_cycle,0.37573165212757237,-0.17895538895302748
median_pen_up_speed,0.37069628933080395,-0.07515732776837328
ink_density,0.3492553375486107,0.15404481583128649
pen_up_path_length,0.34275484150840335,0.15396037848600613
std_slant,0.3085520989661718,0.10018412099719229
abs_mean_slant,0.3043175315693304,0.06038843552058823
F1_in_air_time,0.28928407663642197,0.18883206039698602
width,0.27957710151264714,0.010090148843208737
direction_concentration,0.2654797780522588,-0.0822467828925452
median_speed,0.24095986925141516,-0.021126170217827686
F3_total_time,0.20474694290510298,0.14893866008856177
F2_on_paper_time,0.15473624991749185,0.06343987010530346
