feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.546895294144225,0.018328297096850014
height,0.47849566578890307,-0.010661775941203953
p95_pen_up_speed,0.47279544004085483,0.168606505542962
F1_in_air_time,0.38858665702418954,0.17744377410689627
duty_cycle,0.37221023084878774,0.15851961285031166
dominant_angle,0.3682362190058065,0.05492663832096404
abs_mean_slant,0.3602644335060399,-0.003810680498929071
pen_up_path_length,0.26945091307181823,0.09872678782197511
mean_pressure,0.2519008894331626,0.05419786078040993
ink_density,0.25147891916694365,0.03152229652331078
straightness,0.21025663448700727,-0.14989666229369197
F2_on_paper_time,0.19684783406662068,0.003818187773496969
median_acceleration,0.18346265761605526,0.03914674149254495
mean_slant,0.17869398811337728,0.05569186489231153
stop_ratio,0.1731291249668851,-0.023160847735571862
std_slant,0.14339005409934957,-0.023421876467253792
F3_total_time,0.13786514321306334,0.1285900627056316
median_speed,0.12173103011686526,0.019176587834021427
aspect_ratio,0.11971416973740837,0.017944726625107307
F4_stroke_count,0.11316576078124417,-0.0059543386813006045
width,0.1119112311139299,0.07087589676058147
median_pen_up_speed,0.10906494328732008,0.0124695593564232
direction_concentration,0.0964301829301575,0.043862198217611975
p95_speed,0.08573721534826004,-0.021305736292864166
path_length,0.045387554672753176,-0.008258850029284533
