feature,mean_abs_shap,signed_mean_shap
pen_up_path_length,0.10896128395668958,0.05846586397954755
path_length,0.10700407539833466,0.05185887706916682
F4_stroke_count,0.09303926622226563,0.046958659653575714
duty_cycle,0.0888614521489929,-0.044284954905263706
F1_in_air_time,0.08774299873347863,0.06085491153281159
ink_density,0.08464354754173334,0.04295752561959905
straightness,0.0790512872993279,-0.04003292157975849
pen_up_ratio,0.07793707092243622,0.047037150274097224
median_acceleration,0.07706644449574983,0.005357821211736022
height,0.07549943998358445,0.006782112069456048
F3_total_time,0.07436375539926444,0.05419133261436274
mean_pressure,0.07186916369913963,-0.028927834896127172
std_slant,0.07068755330182443,0.031494319634452914
abs_mean_slant,0.06994075334837886,0.02497864308518707
p95_pen_up_speed,0.0664563392021351,-0.016962957269480213
median_pen_up_speed,0.06551302929632855,-0.017028624058193585
median_speed,0.06539181774693247,-0.007454644285862312
aspect_ratio,0.06377614702335754,0.0014456679831794277
p95_speed,0.06377459590849473,-0.009004664185134882
dominant_angle,0.060090706503411515,-0.02423003886453915
F2_on_paper_time,0.05952875540842577,0.03454763726662179
direction_concentration,0.05864139902820215,0.005235203514896639
stop_ratio,0.05852753956718656,-0.010286090409207279
mean_slant,0.05107807107050352,0.004172805878328552
width,0.04398653418238453,0.013391896577782076
