feature,mean_abs_shap,signed_mean_shap
ink_density,0.2752203230777112,0.08929331034702816
direction_concentration,0.1395390039631223,-0.062403074971386904
F2_on_paper_time,0.09684814410595959,-0.037448235333435075
duty_cycle,0.0957611893875874,-0.0037117705036258833
F1_in_air_time,0.07180062353834415,0.007345291437116916
height,0.06811803793267297,-0.011070459223727706
straightness,0.056501070077264834,-0.010380412476942694
pen_up_ratio,0.04760693872751358,-0.0016885306543579092
pen_up_path_length,0.044899029585526155,-0.005054378625687901
mean_pressure,0.041849308410189,-0.03773913413978588
F4_stroke_count,0.03378532036053458,-0.0030344309891047255
aspect_ratio,0.030077200164095427,-0.0007068937472489773
stop_ratio,0.025644655023764777,0.0036035784580421117
median_acceleration,0.021224665356986486,0.009792067773816667
std_slant,0.01977114346363109,-0.010143825705932976
dominant_angle,0.016704246969544888,0.004950458432581775
median_speed,0.01570874836509032,0.005912246450961536
p95_speed,0.01291827110249703,0.012158948592230908
p95_pen_up_speed,0.010062088725643459,0.002589254469986671
F3_total_time,0.008791389102907329,0.0009203485467106111
abs_mean_slant,0.005285921903831265,-0.005285921903831265
path_length,0.0040223521945859375,-0.0040223521945859375
median_pen_up_speed,0.002679386691287311,0.0024842688047956476
width,0.0,0.0
mean_slant,0.0,0.0
