feature,mean_abs_shap,signed_mean_shap
straightness,0.33023749013029025,-0.08327804863344011
height,0.2913226721503684,-0.1437152290352284
F1_in_air_time,0.0831188356633652,0.026351224994988723
F2_on_paper_time,0.08081862622208548,-0.01692039288097052
median_pen_up_speed,0.07196121798794554,-0.0014929140133796172
abs_mean_slant,0.06180220946925013,-0.0030397289794052854
path_length,0.05494635730749687,-0.010579061582287472
direction_concentration,0.04256172849519982,0.001076142885801404
aspect_ratio,0.03533428468475637,0.007631922331576826
pen_up_path_length,0.030556794005648518,-0.017881884698611
width,0.023269874008267792,-0.0050961568098060375
duty_cycle,0.016243910501205196,0.0004530579864015241
ink_density,0.015810036577005294,-0.008062450758943553
stop_ratio,0.010726672381510642,-0.0028612469410188085
p95_speed,0.007889629736986899,-0.001657485238862793
std_slant,0.00732470125633257,-0.002635727489853274
F4_stroke_count,0.006564692957078873,0.0007576273625513343
median_speed,0.0,0.0
median_acceleration,0.0,0.0
F3_total_time,0.0,0.0
dominant_angle,0.0,0.0
mean_pressure,0.0,0.0
mean_slant,0.0,0.0
p95_pen_up_speed,0.0,0.0
pen_up_ratio,0.0,0.0
