feature,mean_abs_shap,signed_mean_shap
F2_on_paper_time,1.7947977673288529,-0.8034800668277526
straightness,1.6153513457365696,-0.23834359674411248
height,1.0958532320497585,-0.49303671599953935
ink_density,0.8321373297693243,0.43321082389907334
direction_concentration,0.7337274401252066,-0.2159289980062019
aspect_ratio,0.6047429715822925,0.10183195873868021
abs_mean_slant,0.5968209162548356,-0.21592950591344226
p95_pen_up_speed,0.42422530347175164,0.06437756965352567
F1_in_air_time,0.38850114094327304,0.04674870387980019
width,0.3496965807333861,0.05021075617834063
std_slant,0.34707423573027596,-0.18760821597454796
duty_cycle,0.3462484318471838,0.020593547224548373
median_speed,0.3083093149360847,0.05810128627552025
dominant_angle,0.30435365961034244,0.13681885577968067
mean_pressure,0.26763139172528966,-0.17776153871604197
median_pen_up_speed,0.2671561078376399,-0.012026148199615063
stop_ratio,0.2465226139349338,-0.011696214793445781
pen_up_ratio,0.21436975478367312,0.08176477762972477
pen_up_path_length,0.1593545947884523,-0.0640232791944915
mean_slant,0.15714834194642943,0.039063147317512786
F3_total_time,0.12745972449641274,0.09823259196583235
p95_speed,0.11397909307736204,0.0201609646157967
path_length,0.10397529156819187,0.0646287280720685
F4_stroke_count,0.06204870219727991,-0.015001480204404739
median_acceleration,0.03630587783362144,0.016630765750116117
