feature,mean_abs_shap,signed_mean_shap
ink_density,0.6961421924373865,0.2678584143478707
direction_concentration,0.34844015229550906,-0.20359378494891855
height,0.34606779167297275,0.007702817470993191
F2_on_paper_time,0.3432758578065096,-0.12147720359234875
median_acceleration,0.2728282162852263,0.13948882047535724
std_slant,0.24539439114799733,-0.04910431566805397
straightness,0.21798687614854637,-0.015569810800404225
mean_pressure,0.20559348943439903,-0.13987607134840524
pen_up_path_length,0.1781447550527554,-0.09034889240190291
aspect_ratio,0.15050784068952325,0.010492918296097435
F1_in_air_time,0.1409457902748745,0.014524132110656684
dominant_angle,0.13300387194171964,0.05337965362063824
stop_ratio,0.126147848286155,-0.013404512739049877
p95_pen_up_speed,0.10715222165427302,0.04682525669939808
duty_cycle,0.10679774477699654,-0.011849655103659974
width,0.10020234078177699,0.01501956197801131
F4_stroke_count,0.08559542264399121,0.037798470424048596
median_speed,0.07001336490073724,0.030877297882126044
pen_up_ratio,0.06102051329382763,-0.012157150994383073
abs_mean_slant,0.047976084298911655,-0.0068688356767106235
median_pen_up_speed,0.04275356309805499,0.007193984829394529
path_length,0.03863553323258616,0.011554212750289054
p95_speed,0.03562608742050903,0.02814460199591321
mean_slant,0.03543347526902645,0.006255647549099903
F3_total_time,0.029448509008987163,0.008787142566214223
