feature,mean_abs_shap,signed_mean_shap
straightness,0.8795353393859171,-0.1798575159130601
abs_mean_slant,0.5192181636553657,-0.07016452518611252
F2_on_paper_time,0.4313042002235023,-0.15216005960809642
width,0.4234946624913173,-0.012325335960939904
height,0.337753857540194,-0.09128113183634853
aspect_ratio,0.31508215035248427,0.06835140521586922
median_pen_up_speed,0.19524138475619163,0.038533108630228394
std_slant,0.16024160912126822,-0.013857319166751111
path_length,0.1550493549546801,-0.047382760508385816
stop_ratio,0.1536452467823065,0.009143304619811644
duty_cycle,0.15085964348670164,-0.0176735858002881
F3_total_time,0.14318107375446093,-0.009345692698187798
mean_pressure,0.1297205992909479,0.007267339476315655
F1_in_air_time,0.12547840397148163,0.014088239626923068
dominant_angle,0.11329170046749752,0.0077056966820346845
p95_speed,0.10401116271639768,-0.06179488649865467
p95_pen_up_speed,0.09976812727927778,-0.0266244936564443
median_speed,0.09973566780456669,0.01243514466811055
direction_concentration,0.09546095634864459,-0.007613273280199803
pen_up_path_length,0.09448188281793159,-0.010777864033468983
mean_slant,0.08727518887553717,-0.018230431131642067
F4_stroke_count,0.06220621036139666,-0.004889483004836189
pen_up_ratio,0.040941136344115066,-0.0019508958024776828
ink_density,0.03548601606904635,0.003192605845321243
median_acceleration,0.0,0.0
