feature,mean_abs_shap,signed_mean_shap
F3_total_time,0.33865622983220806,-0.1786010468310313
F1_in_air_time,0.33847223992847664,-0.151750671428592
path_length,0.33339355211606764,-0.11658890499606044
pen_up_path_length,0.3304220221895122,-0.11156161855690357
F4_stroke_count,0.31739640304291855,-0.09142281048513023
F2_on_paper_time,0.2929697755423975,-0.18153513941490695
ink_density,0.2918705120086655,-0.10842675867203197
duty_cycle,0.2553508343467729,0.019380023298461016
pen_up_ratio,0.2517781676527433,-0.04216037815658649
direction_concentration,0.24112844860677468,-0.14651034371171245
abs_mean_slant,0.22825187038556585,0.07146151143001207
stop_ratio,0.2170655823349074,-0.05221976832538101
median_speed,0.21637214458362844,0.11051110136187695
straightness,0.20215066512998103,0.09381046385578588
mean_pressure,0.18811580912054165,-0.022603031537097033
std_slant,0.17071239611647204,0.051470005518784764
mean_slant,0.1700677576985699,-0.02389411658934038
median_pen_up_speed,0.1592401058141468,0.11273724536426183
width,0.15310696223706127,0.0009564213965016514
p95_speed,0.1416718947075103,0.08622369538638527
p95_pen_up_speed,0.14059285148672868,0.0808680184493171
height,0.1388413289579591,-0.023974580896885905
dominant_angle,0.11841216407924098,0.006093347624301273
median_acceleration,0.1059407980996776,-0.05393834947435537
aspect_ratio,0.049875306153985104,0.02461104846490418
