feature,mean_abs_shap,signed_mean_shap
pen_up_path_length,0.19116757289378833,-0.05225913103507766
path_length,0.191154903405224,-0.0555496560416273
F4_stroke_count,0.18193507110131918,-0.04220143688445218
F1_in_air_time,0.1783404437788786,-0.05727746018345066
ink_density,0.16657707618874348,-0.04449307549127784
F3_total_time,0.15902192390575362,-0.061375108793840484
pen_up_ratio,0.15595167193601164,-0.025967447986695827
duty_cycle,0.15567115629939837,0.02227513792717997
straightness,0.12164761421280985,0.046967219190616076
mean_pressure,0.11548340458867258,0.0025509569775274588
stop_ratio,0.11212620829245322,0.0003736741612783168
F2_on_paper_time,0.09905235844112344,-0.05403475976783846
abs_mean_slant,0.09894231749653898,0.004830144560911806
mean_slant,0.09643524252675714,0.00032540155467202615
height,0.08168863942681613,-0.032422350205724045
width,0.07971536805252502,-0.020629717851660952
median_speed,0.07233082686032848,0.007657509062393407
std_slant,0.06156757395286508,0.002675035727236412
direction_concentration,0.06094456752742847,-0.03669388418178583
p95_pen_up_speed,0.05641394462046905,0.008647253778192632
dominant_angle,0.054434062491501845,0.004274606702597586
median_acceleration,0.03861788732292982,0.004596055199951066
median_pen_up_speed,0.035120265944282844,0.018668529064815784
p95_speed,0.031986427952167905,0.0072714003545176755
aspect_ratio,0.02225298573277292,0.01158351507505963
