feature,mean_abs_shap,signed_mean_shap
mean_pressure,0.8118263951353241,-0.13261509821743137
mean_slant,0.6951118364826583,-0.0652800601556305
direction_concentration,0.5520225838200074,-0.01840958093193408
ink_density,0.45798282625122,0.05117339532143084
dominant_angle,0.44567235871616095,-0.04130758308457408
width,0.43016311211348535,-0.08618246530096095
p95_pen_up_speed,0.3911842549828721,-0.016600762154235418
median_acceleration,0.38882978737996593,-0.078722783886286
stop_ratio,0.3877081423927689,-0.0891508071351308
aspect_ratio,0.38112259659407044,0.03578618926027983
pen_up_ratio,0.36911013821264266,0.03912728705352529
F2_on_paper_time,0.3674905584707234,-0.02749172246259679
abs_mean_slant,0.34397722818780346,0.09253892076576455
height,0.3338097810211117,-0.055103381251948094
F4_stroke_count,0.3194771113923405,0.052053080545180166
p95_speed,0.2803136923977949,-0.06000148693367913
F3_total_time,0.27845927597286924,0.007445666570057586
straightness,0.26562944964154867,0.020252989512835513
median_pen_up_speed,0.2648987678938313,0.010836954379006515
std_slant,0.25781745243117626,0.056428422594820206
median_speed,0.24424089398735496,-0.02262269560393154
path_length,0.23288750877967385,-0.03569297998056645
duty_cycle,0.2274170964833112,-0.04185581835192606
pen_up_path_length,0.22487651762039623,-0.01684530207353763
F1_in_air_time,0.2113677497809621,0.02393364997481736
