feature,mean_abs_shap,signed_mean_shap
mean_slant,0.35300997214706353,-0.24180093121486906
abs_mean_slant,0.3198083168652154,-0.06495211648245004
direction_concentration,0.29131413430071584,-0.04753988252117954
F4_stroke_count,0.28538622950203507,-0.022855280116220605
mean_pressure,0.26526487902975465,0.09050051690715127
pen_up_ratio,0.24923457116407116,-0.016005727268937807
median_acceleration,0.22240241197540286,0.022421174110646827
std_slant,0.14105060727886493,-0.0006191273473690931
p95_pen_up_speed,0.14055632836691148,-0.013188221249475586
width,0.126339268471672,0.0900800973487415
F3_total_time,0.12041018004838809,-0.020750172945720638
duty_cycle,0.09563035291205149,0.05557270538147889
F2_on_paper_time,0.08480026821755457,0.012151432984257969
stop_ratio,0.08121658610396906,-0.05161896898129732
path_length,0.07301525587376381,-0.0004420400168122875
median_speed,0.06937480634011538,-0.06422857980079864
F1_in_air_time,0.06649173262472208,0.013477132701398805
median_pen_up_speed,0.06478629967128381,0.013703680806952138
dominant_angle,0.05793592533751878,0.021865906096207637
straightness,0.05567203970752848,-0.011165539074627582
ink_density,0.05221012973312289,-0.0010205744216998114
aspect_ratio,0.03819333979437303,-0.0033350753839637357
p95_speed,0.03320953301302223,-0.008088472704276699
height,0.030697132837123484,0.0064133591270104096
pen_up_path_length,0.029718607220009206,0.0008848935725070237
