feature,mean_abs_shap,signed_mean_shap
mean_slant,0.16567640460572416,-0.018718224218869355
mean_pressure,0.15711348798619443,-0.004098392758528816
aspect_ratio,0.13136753981829805,0.00832453121669481
direction_concentration,0.12770480347038213,0.011398350756781908
height,0.12490245652616336,-0.0094407415751717
straightness,0.114843062256659,0.008416642080934915
ink_density,0.11250219183058292,0.00011215684773867841
p95_speed,0.11136007610435211,-0.014244193442616938
path_length,0.10952298948992631,-0.009315482682464196
median_speed,0.10322004033439666,-0.01486591213021435
pen_up_ratio,0.10039594683290123,-0.017727651573022637
width,0.09184823505861123,-0.014683911061896341
p95_pen_up_speed,0.09059005044918705,-0.008081403026177781
F2_on_paper_time,0.08994686900066319,0.021332208450376883
dominant_angle,0.08508064715681492,-0.008009213364781678
pen_up_path_length,0.08150136229020576,-0.013236149671438888
median_pen_up_speed,0.07851865797114256,-0.0015327856331944845
median_acceleration,0.07640519420759387,0.0067549929120168765
std_slant,0.0747902867655555,-0.03656463757737037
abs_mean_slant,0.06520566166503113,-0.03006574905382714
stop_ratio,0.0626882163604105,0.010907391685439667
F3_total_time,0.059348064949522,0.0038683320420312686
duty_cycle,0.05249211929164457,0.024077413439710905
F4_stroke_count,0.05160200463424746,-0.020425994231210977
F1_in_air_time,0.03721554231622839,-0.005679690785764583
