feature,mean_abs_shap,signed_mean_shap,task,model,target
mean_pressure,1.7715447563737732,-0.21403162556058825,house,Linear Regression,TOTAL_DASS
mean_slant,1.5954418548125544,-0.012204135547198834,house,Linear Regression,TOTAL_DASS
median_acceleration,1.3796797779971217,0.20524832051625125,house,Linear Regression,TOTAL_DASS
p95_pen_up_speed,1.3284545084305166,-0.17917744775962222,house,Linear Regression,TOTAL_DASS
height,1.2431464321260604,-0.20068111256755777,house,Linear Regression,TOTAL_DASS
pen_up_ratio,1.2104200833773746,0.23069805651665817,house,Linear Regression,TOTAL_DASS
aspect_ratio,1.190149317622671,0.10240775768253477,house,Linear Regression,TOTAL_DASS
median_pen_up_speed,1.1701134676643108,-0.10384895191183147,house,Linear Regression,TOTAL_DASS
dominant_angle,1.1216232835638278,-0.1804167531736887,house,Linear Regression,TOTAL_DASS
duty_cycle,1.0684829020006985,-0.4050512790905962,house,Linear Regression,TOTAL_DASS
F4_stroke_count,1.062233721243244,0.11519669855632848,house,Linear Regression,TOTAL_DASS
stop_ratio,1.0358590088139148,0.14050534998159642,house,Linear Regression,TOTAL_DASS
straightness,1.0346292342489798,-0.1710890571844049,house,Linear Regression,TOTAL_DASS
pen_up_path_length,0.8859784074530898,0.33034553428600033,house,Linear Regression,TOTAL_DASS
abs_mean_slant,0.8319193831327074,0.023001371644824724,house,Linear Regression,TOTAL_DASS
p95_speed,0.8291535457355772,0.14145636372955994,house,Linear Regression,TOTAL_DASS
std_slant,0.8227447047790386,0.07953337076115778,house,Linear Regression,TOTAL_DASS
direction_concentration,0.8171883475029768,-0.08072797629596612,house,Linear Regression,TOTAL_DASS
median_speed,0.7730796025658617,-0.05432143298928967,house,Linear Regression,TOTAL_DASS
path_length,0.7406416988163861,0.31860868260950903,house,Linear Regression,TOTAL_DASS
mean_slant,0.7511538351027466,0.008771152612925971,house,Linear Regression,depression
mean_pressure,0.7183374771914359,-0.04812028587457324,house,Linear Regression,depression
pen_up_ratio,0.5833314660944927,0.06997283850144484,house,Linear Regression,depression
p95_pen_up_speed,0.5408406919366326,-0.011007417149028096,house,Linear Regression,depression
straightness,0.47854641815430593,-0.06919539309206393,house,Linear Regression,depression
dominant_angle,0.4720701966238258,-0.023663449250550604,house,Linear Regression,depression
median_pen_up_speed,0.45570301088419707,-0.013047839940372627,house,Linear Regression,depression
duty_cycle,0.4410893900517208,-0.1175035245340415,house,Linear Regression,depression
median_acceleration,0.40464234106804675,0.043052108971548216,house,Linear Regression,depression
stop_ratio,0.40410191186584643,0.0837259842822092,house,Linear Regression,depression
aspect_ratio,0.39685452689005274,0.0074189317709773325,house,Linear Regression,depression
height,0.3940184722640559,-0.11071611262776572,house,Linear Regression,depression
direction_concentration,0.3865381874820662,-0.007936868571304814,house,Linear Regression,depression
std_slant,0.38109660397600403,-0.005173089306523138,house,Linear Regression,depression
abs_mean_slant,0.37532453045356345,-0.021552720326618476,house,Linear Regression,depression
median_speed,0.37303319561548304,-0.022480985095381427,house,Linear Regression,depression
F2_on_paper_time,0.36830008898920263,0.035004496918196806,house,Linear Regression,depression
p95_speed,0.3524896606979598,0.07150147343214204,house,Linear Regression,depression
width,0.32220694261683597,-0.10159743347634333,house,Linear Regression,depression
pen_up_path_length,0.3146310993186348,0.09981135442790011,house,Linear Regression,depression
mean_pressure,0.7621652894306299,-0.11655987262649528,house,Linear Regression,stress
median_acceleration,0.6794898623319726,0.13507960942638592,house,Linear Regression,stress
F4_stroke_count,0.6351540853841064,-0.016778101397099912,house,Linear Regression,stress
dominant_angle,0.5585081368061519,-0.18111454441915276,house,Linear Regression,stress
mean_slant,0.449905344364377,0.015441487428247245,house,Linear Regression,stress
p95_speed,0.41585991300135167,0.054604681913372234,house,Linear Regression,stress
height,0.4154776375834888,-0.017439134633788097,house,Linear Regression,stress
aspect_ratio,0.41404190279248404,0.003277571606184745,house,Linear Regression,stress
p95_pen_up_speed,0.40052936496472075,-0.12582400176088074,house,Linear Regression,stress
pen_up_ratio,0.3876609473664986,0.07380776030005161,house,Linear Regression,stress
straightness,0.3870087256448253,-0.1021652113201371,house,Linear Regression,stress
path_length,0.3818800438799623,0.15854813148694197,house,Linear Regression,stress
stop_ratio,0.3814674661133125,0.04070005561383549,house,Linear Regression,stress
duty_cycle,0.37573165212757237,-0.17895538895302748,house,Linear Regression,stress
median_pen_up_speed,0.37069628933080395,-0.07515732776837328,house,Linear Regression,stress
ink_density,0.3492553375486107,0.15404481583128649,house,Linear Regression,stress
pen_up_path_length,0.34275484150840335,0.15396037848600613,house,Linear Regression,stress
std_slant,0.3085520989661718,0.10018412099719229,house,Linear Regression,stress
abs_mean_slant,0.3043175315693304,0.06038843552058823,house,Linear Regression,stress
F1_in_air_time,0.28928407663642197,0.18883206039698602,house,Linear Regression,stress
p95_pen_up_speed,0.5293299645884212,-0.04234602884971339,house,Linear Regression,anxiety
mean_slant,0.4623267362930695,-0.03641677558837193,house,Linear Regression,anxiety
height,0.45957234120565776,-0.072525865306004,house,Linear Regression,anxiety
aspect_ratio,0.45662000477522263,0.09171125430537255,house,Linear Regression,anxiety
pen_up_ratio,0.45170467657934255,0.08691745771516161,house,Linear Regression,anxiety
median_pen_up_speed,0.3976822573527514,-0.015643784203085483,house,Linear Regression,anxiety
median_acceleration,0.37272381368999513,0.027116602118316895,house,Linear Regression,anxiety
stop_ratio,0.3665149379961543,0.01607931008555171,house,Linear Regression,anxiety
straightness,0.3572925267958969,0.00027154722779607705,house,Linear Regression,anxiety
mean_pressure,0.3535061432008515,-0.04935146705951998,house,Linear Regression,anxiety
duty_cycle,0.32577618407593234,-0.10859236560352732,house,Linear Regression,anxiety
width,0.2941093771334287,0.02023963224209923,house,Linear Regression,anxiety
F4_stroke_count,0.25429396240497565,0.11084559183155357,house,Linear Regression,anxiety
dominant_angle,0.24609794788026945,0.02436124049601496,house,Linear Regression,anxiety
pen_up_path_length,0.23813481142761164,0.0765738013720941,house,Linear Regression,anxiety
median_speed,0.22669108721491904,-0.010714277676080356,house,Linear Regression,anxiety
F2_on_paper_time,0.22324261291215935,0.010509645007128919,house,Linear Regression,anxiety
std_slant,0.2144669968739249,-0.015477660929511344,house,Linear Regression,anxiety
direction_concentration,0.20438014241456842,0.009455675167884038,house,Linear Regression,anxiety
p95_speed,0.19844827493020079,0.015350208384045827,house,Linear Regression,anxiety
mean_slant,0.7511538351027466,0.008771152612925971,house,Linear Regression,depression
mean_pressure,0.7183374771914359,-0.04812028587457324,house,Linear Regression,depression
pen_up_ratio,0.5833314660944927,0.06997283850144484,house,Linear Regression,depression
p95_pen_up_speed,0.5408406919366326,-0.011007417149028096,house,Linear Regression,depression
straightness,0.47854641815430593,-0.06919539309206393,house,Linear Regression,depression
dominant_angle,0.4720701966238258,-0.023663449250550604,house,Linear Regression,depression
median_pen_up_speed,0.45570301088419707,-0.013047839940372627,house,Linear Regression,depression
