feature,mean_abs_shap,signed_mean_shap
straightness,0.6502074872067454,-0.054754936821044195
F3_total_time,0.5200397058941123,0.0920787942386832
p95_pen_up_speed,0.49402094471822466,-0.02615969039764228
median_acceleration,0.33607990854792974,0.15633125025501776
pen_up_path_length,0.32927458212813776,0.16911020441335026
aspect_ratio,0.3012374804636584,0.10157452956741521
p95_speed,0.2678262559021606,0.08035457050681119
F1_in_air_time,0.21480195424769907,0.03402803561860591
median_speed,0.18012676568544225,0.05402322370877489
height,0.17617326614756973,0.02042941230284522
ink_density,0.1678078661351681,-0.006638292569137869
stop_ratio,0.15124221230848928,0.05796533995804437
mean_pressure,0.133675662996502,0.010562515117593931
abs_mean_slant,0.11025253650578694,-7.935849213969615e-05
duty_cycle,0.09837530269925782,0.027801121623520206
pen_up_ratio,0.07729538518584654,0.011519588978193251
width,0.07464014575311878,0.002089159715106947
std_slant,0.07260046987557668,-0.0009840200509842701
direction_concentration,0.06762525863565086,-0.002483665498711122
F2_on_paper_time,0.06435514485509161,0.01770154623651894
