feature,mean_abs_shap,signed_mean_shap
straightness,0.3263366958895621,-0.04804129942429961
F3_total_time,0.22224691305690122,-0.0034989264278765466
ink_density,0.2019633510940371,-0.07601042700164777
mean_pressure,0.16575720475701192,0.08398616927736156
median_speed,0.1251264381267791,0.04725443273482553
F1_in_air_time,0.08520598163591195,0.014900754258842077
median_acceleration,0.0784693543484182,0.0456444268854369
width,0.07037731722050557,0.021649417146006832
p95_pen_up_speed,0.05698659269060252,-0.011033726994727105
pen_up_path_length,0.05188996857327646,0.0070079407446724225
stop_ratio,0.05047413520371738,0.02030155717639829
mean_slant,0.04779031240115874,-0.018205513813060143
pen_up_ratio,0.04489756372422835,-0.008498700386643979
std_slant,0.044525181828681204,-0.011765863152949616
aspect_ratio,0.0377646719655023,0.017184745387763357
p95_speed,0.035065554781096055,0.006714080282049875
direction_concentration,0.02884784382867656,-0.0034555615617548603
path_length,0.026334947589639512,0.02592309011967158
duty_cycle,0.025742553626974984,-0.006888751820773829
F2_on_paper_time,0.01534478492576411,0.0048782546047544464
