feature,mean_abs_shap,signed_mean_shap
straightness,1.573546148314662,-0.6776086461835353
stop_ratio,0.9416509902818501,-0.3992476374424806
F4_stroke_count,0.807883739992479,-0.39257231743306137
direction_concentration,0.7524715517654117,-0.41937380721522144
median_acceleration,0.6514658060855544,0.2132762636680772
mean_pressure,0.6045720619205361,0.05665277478782586
mean_slant,0.5972581881291465,-0.14726465316382192
median_pen_up_speed,0.5650248760413014,-0.3536143824895048
median_speed,0.5474859756438417,0.04053036843756588
pen_up_ratio,0.5340876468566105,-0.0263694645774397
dominant_angle,0.5204476511850152,-0.016800548137863077
p95_pen_up_speed,0.49814614955905456,-0.10967509105990586
std_slant,0.392872007198678,-0.12167996997401959
ink_density,0.3544266371730982,-0.036461619817826016
abs_mean_slant,0.35280600284127095,-0.10035131034817496
aspect_ratio,0.29116908215976034,0.2149769788541281
width,0.29089880974063503,0.13704463230669833
height,0.234974246583919,-0.012660044304032636
p95_speed,0.21023750696714377,-0.09553021362895757
duty_cycle,0.1726729306363359,0.019520203428426305
