feature,mean_abs_shap,signed_mean_shap
straightness,0.05501426440489248,-0.028745992540737193
aspect_ratio,0.043394424098149094,0.026094055325268956
stop_ratio,0.03679947066727565,-0.011276276643164156
direction_concentration,0.03502248628391078,-0.020228638005297474
duty_cycle,0.034062959173054276,0.021466584022942884
mean_slant,0.0313210211711851,0.0016401244221575034
dominant_angle,0.029494147992840003,-0.021167498601845015
F1_in_air_time,0.02761382933837296,-0.016219622612527303
height,0.02635728116955646,-0.00708925060222412
median_acceleration,0.02534075339293894,0.002375308850790249
p95_pen_up_speed,0.025033392149346873,0.003679024774291707
F4_stroke_count,0.02420798006545306,0.00176153555826484
std_slant,0.023153276582414017,0.007166480252406975
median_speed,0.02315082859162984,-0.002195164606232146
p95_speed,0.023114112391723108,0.0009837063891652944
F3_total_time,0.022584692633234916,-0.010181148430342214
F2_on_paper_time,0.022329916996074818,0.00983669064296762
ink_density,0.021552558149464118,0.0010012275546401083
pen_up_ratio,0.02022213093435776,-0.007413056458690598
abs_mean_slant,0.02019963482389632,0.003293010834172541
