feature,mean_abs_shap,signed_mean_shap
p95_pen_up_speed,0.0938904823574207,0.022831222422211712
width,0.07917927186931513,-0.0018173185330978153
median_pen_up_speed,0.0771961000206788,0.006468912485633191
straightness,0.07499726871140429,-0.03574710607469033
median_speed,0.07172927132744446,-0.01482468607258655
height,0.06726976524271215,-0.023230464364025035
direction_concentration,0.06638679003041163,-0.0331173868948268
stop_ratio,0.06344173771203444,-0.015875119692232435
p95_speed,0.06271896438484843,-0.02293891815357293
median_acceleration,0.0587199029106649,-0.012277788464815045
path_length,0.0518822634135611,-0.010623805960566158
duty_cycle,0.05164206477461317,0.036018671643311836
abs_mean_slant,0.05155950782634774,-0.0010853553341144224
ink_density,0.05153880656690566,0.008211696114455956
std_slant,0.05100162059655051,-0.0006827750725753381
pen_up_path_length,0.04859635414578275,-0.01087162344126431
F4_stroke_count,0.04520546427179637,-0.010309968367891345
aspect_ratio,0.0450677309586381,0.025744004854560406
pen_up_ratio,0.043204306612190865,-0.0016140589669497607
F1_in_air_time,0.04302078640248262,-0.02645742359656269
