feature,mean_abs_shap,signed_mean_shap
ink_density,1.4861784045758293,-0.06018928246233633
duty_cycle,0.8541638619989657,0.218697945608675
mean_pressure,0.504586977729587,0.15780558260039573
F1_in_air_time,0.21898057955523423,0.16034159239144682
F3_total_time,0.09563972563195483,0.07046885340667164
width,0.08993943456057416,0.007083401502084271
mean_slant,0.062198056278541955,-0.0012113930550234834
stop_ratio,0.015049827945808633,0.008712487725115332
F2_on_paper_time,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
median_acceleration,0.0,0.0
path_length,0.0,0.0
F4_stroke_count,0.0,0.0
dominant_angle,0.0,0.0
direction_concentration,0.0,0.0
straightness,0.0,0.0
aspect_ratio,0.0,0.0
height,0.0,0.0
std_slant,0.0,0.0
