feature,mean_abs_shap,signed_mean_shap
mean_pressure,0.4998649975493966,0.1563288206817364
p95_pen_up_speed,0.49553068460582583,-0.04434913189101026
ink_density,0.4733960218481052,-0.019172238533296575
height,0.332683168509468,0.04432420089135965
std_slant,0.2415993212122641,-0.0980053674316146
abs_mean_slant,0.23644057743843597,-0.12449794159229363
duty_cycle,0.21550977524781928,0.05517857544919459
F4_stroke_count,0.18844214813906573,0.02914885055857746
straightness,0.1729658913598007,0.057640174035388764
p95_speed,0.1625861156701997,0.02101938281434355
direction_concentration,0.14500369767115318,-0.0595233030817404
width,0.13827566044015585,0.010890239922553972
median_pen_up_speed,0.09939817820159408,0.025044163647080817
F1_in_air_time,0.09675710203407616,0.07084732283947709
F3_total_time,0.08383818797566135,0.06177329492844034
aspect_ratio,0.07822182985316198,0.0035274699181579395
pen_up_path_length,0.07683331399895972,-0.017767509409821268
median_acceleration,0.04357043454400278,0.006852553215247831
dominant_angle,0.009962380312950287,-0.003979800845801803
F2_on_paper_time,0.0,0.0
