feature,mean_abs_shap,signed_mean_shap
ink_density,0.7409338802250466,-0.030007352055090846
duty_cycle,0.6151180466838848,0.1574932622433394
mean_pressure,0.3726777203801201,0.11655200665580671
stop_ratio,0.1898677800806999,0.1099162534817346
F1_in_air_time,0.08507317751009096,0.06229213923661002
F3_total_time,0.013786842535280897,0.010158362324232407
path_length,0.0,0.0
F2_on_paper_time,0.0,0.0
F4_stroke_count,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
median_acceleration,0.0,0.0
dominant_angle,0.0,0.0
direction_concentration,0.0,0.0
width,0.0,0.0
height,0.0,0.0
straightness,0.0,0.0
aspect_ratio,0.0,0.0
mean_slant,0.0,0.0
std_slant,0.0,0.0
