feature,mean_abs_shap,signed_mean_shap
ink_density,0.15150918004452404,-0.01939161789835494
straightness,0.1370214395181064,0.06237318886609891
F1_in_air_time,0.09663661568606953,0.0019898973140486447
pen_up_path_length,0.0718831866050046,-0.01980841518584013
duty_cycle,0.061396949419732956,0.009831666619201075
width,0.05929683153273192,-0.05202060342535878
height,0.05583031264926201,0.022038218279043755
direction_concentration,0.05430974931912402,-0.02220918451228979
p95_speed,0.05080222748522403,0.018234457692930466
abs_mean_slant,0.04773514032393061,0.04180272521622255
std_slant,0.04488520205921399,0.017179950095834125
median_pen_up_speed,0.0394190042729688,0.013016297668123768
F3_total_time,0.03902665591715936,0.004441595463300065
dominant_angle,0.035746055471478376,-0.003106888489640059
F4_stroke_count,0.027850628392641835,0.007446872566527627
median_acceleration,0.026452034265581466,0.026452034265581466
aspect_ratio,0.021251459938372814,0.012932122978818721
p95_pen_up_speed,0.02060229337001272,0.005905047537745615
median_speed,0.01895799739234629,-0.0015081150424763338
mean_slant,0.015017301117904605,0.005524071408371709
