feature,mean_abs_shap,signed_mean_shap
dominant_angle,0.2970883615519867,0.15098915637190224
pen_up_ratio,0.21266674354024076,-0.056319949834784784
ink_density,0.19385395058287355,0.023993785595209552
mean_pressure,0.176408945818496,0.03258481797965899
abs_mean_slant,0.155105277680776,0.155105277680776
median_pen_up_speed,0.13547909186756874,0.07504705592803917
duty_cycle,0.10661387210670321,0.009699660813237542
std_slant,0.1059901524230708,0.049279217837086046
F1_in_air_time,0.09383198975771861,0.019728255739007456
straightness,0.09379319128404412,0.04957154329426169
p95_pen_up_speed,0.08844828678457224,0.023951734884656958
aspect_ratio,0.08045910306950571,0.01393403701414599
width,0.0755975662609128,0.0014429704034083076
median_speed,0.0740467121138417,0.014092780251249694
F3_total_time,0.06270972953430379,-0.02158189778231264
stop_ratio,0.05917336314921046,0.013772719020853856
height,0.05511321657367447,0.01602100297719493
F4_stroke_count,0.045012502447506916,0.0033657953096062334
median_acceleration,0.027528813965015837,0.0032004616237298186
p95_speed,0.023816153314607923,0.0008028809532901714
