feature,mean_abs_shap,signed_mean_shap
duty_cycle,0.8435854933200121,0.21598948696168413
ink_density,0.8329348827702266,-0.03373333428707623
mean_pressure,0.34864330417523876,0.10903543326198387
stop_ratio,0.1560191607743292,0.09032096765649113
F1_in_air_time,0.0,0.0
path_length,0.0,0.0
F2_on_paper_time,0.0,0.0
F3_total_time,0.0,0.0
F4_stroke_count,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
median_acceleration,0.0,0.0
dominant_angle,0.0,0.0
direction_concentration,0.0,0.0
width,0.0,0.0
height,0.0,0.0
straightness,0.0,0.0
aspect_ratio,0.0,0.0
mean_slant,0.0,0.0
std_slant,0.0,0.0
