feature,mean_abs_shap,signed_mean_shap
direction_concentration,0.5846505831685906,0.11499885075353064
mean_pressure,0.500681607238577,-0.003703929538159059
dominant_angle,0.485709213143663,0.04555617368138187
duty_cycle,0.47159443471906914,0.20427558843884724
F2_on_paper_time,0.4461503152163405,0.17968590074485696
median_acceleration,0.41853492502660583,-0.07838807721634994
p95_pen_up_speed,0.3652295649723156,0.10680840260351447
F4_stroke_count,0.3543912286216635,-0.20223711077585418
std_slant,0.3217378095659185,0.018922644497451544
aspect_ratio,0.31686559251386603,0.14687025956156471
width,0.3118238899792824,0.14161252267376814
pen_up_ratio,0.3099883923031357,-0.20517327217368206
abs_mean_slant,0.30771430021253493,0.008701550114323815
stop_ratio,0.30281746090194334,-0.022671979718100806
F1_in_air_time,0.29683143591081235,0.03909739179290098
median_pen_up_speed,0.2891472367868581,0.07273205415726416
F3_total_time,0.28887793759737446,0.07768630526066991
p95_speed,0.27585925411962403,-0.10015098720291654
straightness,0.26595509132521744,0.06492646997673766
ink_density,0.23295979683459825,0.035069496579169815
