feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.2661191029093071,0.036216031502348575
duty_cycle,0.21619185411971611,0.07762340646404833
std_slant,0.16675940687522045,0.03008425135819235
abs_mean_slant,0.1583474151787737,0.005700269456500228
aspect_ratio,0.10650959151553097,0.016028511458624013
direction_concentration,0.07085137111012944,-0.002264884446632053
height,0.047629845913981644,-0.012456869952411824
median_acceleration,0.03531748401007557,0.0035855002484627527
F2_on_paper_time,0.031018944437661452,-0.007889378553211115
p95_pen_up_speed,0.01130688194420961,-0.0011131854987520592
median_pen_up_speed,0.010754655265788168,-0.00275604214111762
p95_speed,0.0,0.0
median_speed,0.0,0.0
F3_total_time,0.0,0.0
F1_in_air_time,0.0,0.0
path_length,0.0,0.0
F4_stroke_count,0.0,0.0
mean_pressure,0.0,0.0
width,0.0,0.0
straightness,0.0,0.0
