feature,mean_abs_shap,signed_mean_shap
height,0.22803415775050426,-0.02830910701494196
duty_cycle,0.12251503885109248,0.056458064647435385
F1_in_air_time,0.11813853188743025,0.02538792307780796
pen_up_ratio,0.08302016889144587,-0.013699218743717113
aspect_ratio,0.07924783667984109,-0.07924783667984109
stop_ratio,0.06494815451593834,-0.027727360034077633
p95_pen_up_speed,0.055255548657404154,0.002188584609742649
mean_pressure,0.047117236037302876,-0.019188561278158607
abs_mean_slant,0.031394982399837214,0.009405000879853341
direction_concentration,0.03115934944192968,0.0062234596132988
path_length,0.026300322527677198,0.011959322658412494
F3_total_time,0.02626491403113042,-0.0027543565334872478
F4_stroke_count,0.01752505828067077,0.0013966497015551749
pen_up_path_length,0.017265320710951913,-0.0004736635990215281
dominant_angle,0.016278407173688506,0.00063844476327638
median_speed,0.014540279357292555,-0.001145517692210146
std_slant,0.013352622216051182,-0.0013318545430758358
mean_slant,0.0022491857879398513,-0.00035513459809576617
median_pen_up_speed,0.002185398982238326,0.0009201679925214007
straightness,0.0006843099678370475,-0.0002631961414757874
