feature,mean_abs_shap,signed_mean_shap
height,0.2491537702214042,-0.012682995776017437
abs_mean_slant,0.20564330292898483,-0.027454407830454147
ink_density,0.19091343760891458,0.06642183096235378
direction_concentration,0.12039239443173805,-0.021055191813989398
std_slant,0.11677850046738526,0.030852539856732534
mean_pressure,0.10530027986080878,-0.019936442663636304
pen_up_ratio,0.09293771171039546,-0.015200620546294478
F1_in_air_time,0.07529793435730009,0.011580493924242732
pen_up_path_length,0.06627008784988836,0.013784299909287034
F4_stroke_count,0.06495409687422792,0.017727157435897353
duty_cycle,0.05095290297298124,0.019528167758778185
straightness,0.0425514227958681,-0.010481983857678649
aspect_ratio,0.04067165170316949,-0.011322548584110083
median_pen_up_speed,0.036675024898453076,-0.01517786143727554
dominant_angle,0.030627520719281133,-0.0072065455994244415
path_length,0.030464696053359108,0.016229017017891485
stop_ratio,0.0291454456939199,-0.002452233803655922
F3_total_time,0.02360239208739571,0.0003877839251354068
p95_speed,0.02327436031570969,0.002732533797745332
median_speed,0.022503125570741626,-0.004952544248122964
