feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.36495846830239304,-0.009296173986968024
p95_pen_up_speed,0.15929485682270056,0.04322253681375962
height,0.147175953446475,-0.020109596910851766
F1_in_air_time,0.13309158680079441,0.043771211232593914
duty_cycle,0.09634607418387592,0.02432782498050736
dominant_angle,0.08467712925626558,0.004088577667363804
median_acceleration,0.08356978183349904,0.015479703025934207
mean_slant,0.06877679133852213,0.0029849345694098095
stop_ratio,0.054065107104135604,-0.004807890013641633
direction_concentration,0.049067500976536685,0.015367196027059393
mean_pressure,0.048372935277416894,-0.003537086994692099
pen_up_path_length,0.046255835520858476,0.016358135610195303
F2_on_paper_time,0.03147413378761515,0.012408761716089992
median_pen_up_speed,0.02965507897191473,0.0044490573682399
ink_density,0.02843700541416128,0.0016162253495872493
aspect_ratio,0.027766123736628293,-0.006172754852348154
std_slant,0.019128454603992612,-0.0028896201778902215
abs_mean_slant,0.018653395445838116,0.002892505686385623
F4_stroke_count,0.017948153409935122,0.002556443812964504
p95_speed,0.017003566381114055,0.0040774111282872744
