feature,mean_abs_shap,signed_mean_shap
height,0.6957949112327957,0.049116788269288225
duty_cycle,0.3962707398618352,0.16371805725164992
pen_up_ratio,0.35391360146635864,-0.019950333188190703
p95_pen_up_speed,0.3354553184721395,0.05823161390799499
aspect_ratio,0.2919798017561029,-0.2583900815792599
mean_pressure,0.23736309648989312,-0.08168724891664517
direction_concentration,0.23443844033847455,0.07328994571022643
F1_in_air_time,0.19786712213974736,0.031145290313968767
dominant_angle,0.17087043840276037,-0.024193248706862347
abs_mean_slant,0.15304299787749914,0.011330879609518892
straightness,0.14343004476881063,-0.0858007743680035
stop_ratio,0.14048044809416863,-0.023900523734669214
path_length,0.12295776761182528,0.05133209202550737
median_pen_up_speed,0.12281895094799675,0.01306652050285467
F4_stroke_count,0.11005896412673041,0.05881487293468369
ink_density,0.10056756374044215,0.017413372355008675
width,0.06186875332830076,0.0040997829601147695
median_speed,0.05660404321377973,-0.007659949569855013
std_slant,0.05578258468563738,-0.022220404843630578
mean_slant,0.05524043427916821,0.016697601370397705
