feature,mean_abs_shap,signed_mean_shap
height,0.49660076357867156,0.01604331113234828
abs_mean_slant,0.4679133762979241,-0.025104862749315913
std_slant,0.4399131146585055,0.10592595981235658
ink_density,0.4379189878203315,0.15328831835703688
pen_up_ratio,0.27352899764581207,0.009575825986627264
mean_pressure,0.2509815992850872,-0.044568096567098196
pen_up_path_length,0.2496015421904904,0.044560204581593446
p95_pen_up_speed,0.2121989228888899,0.012483834667097432
direction_concentration,0.163811644078817,-0.03996043784446933
F1_in_air_time,0.1579361659237,0.0428359493231258
straightness,0.13222786967024197,-0.05415240614842119
duty_cycle,0.12315704501064881,0.05326787255143211
F4_stroke_count,0.12241029460335841,0.039126714722714194
aspect_ratio,0.1081841427863503,-0.030607717149859846
dominant_angle,0.09908260415752891,-0.0021659458694077475
mean_slant,0.07227374346593513,0.02653071108000377
path_length,0.07044806711087963,0.0531273719903808
p95_speed,0.07011859154651826,0.009258530301765612
stop_ratio,0.05962280137077389,-0.008038468448345491
F2_on_paper_time,0.05808302550503534,0.013696551387436707
