feature,mean_abs_shap,signed_mean_shap
p95_pen_up_speed,0.22381005469853893,-0.022656106382857387
height,0.20948675349745677,-0.030079817607319887
aspect_ratio,0.19011291624627746,0.03460316716700152
median_pen_up_speed,0.184168157839841,-0.016907814001467673
pen_up_ratio,0.18294493384820185,0.049556557930263985
mean_slant,0.1681407371075603,-0.00728265006695074
straightness,0.1617981136862734,-0.02080334541160735
duty_cycle,0.16161228709955017,-0.05759733439725124
stop_ratio,0.1430544897171634,0.0007165655450619154
mean_pressure,0.14154284218912436,-0.033467636170273284
median_speed,0.13960353159566746,-0.007782339783418387
width,0.13837602186836662,0.006245187054950205
median_acceleration,0.13579223061079906,0.002410436953176186
pen_up_path_length,0.12758078890932695,0.05271667614822187
direction_concentration,0.12466309485397056,0.012663996244496323
abs_mean_slant,0.12157034962152785,0.0002883011930220571
F2_on_paper_time,0.12118818571117737,0.023783204717344728
p95_speed,0.11668858798840588,0.00208684589657658
std_slant,0.11325772452770061,0.0026510128895806226
dominant_angle,0.10381154826741595,0.007042434409872844
