feature,mean_abs_shap,signed_mean_shap
mean_slant,0.24836427012737425,0.013712865790358268
abs_mean_slant,0.23953449127337548,-0.008627947201610227
median_pen_up_speed,0.2392535002212878,-0.008749556671838328
p95_pen_up_speed,0.23829786628625269,-0.00023738123775006553
pen_up_ratio,0.2382547977907213,0.051431425939120506
median_speed,0.23057497382174622,-0.01473447012384622
direction_concentration,0.2268968903239747,0.02030568576092027
std_slant,0.21867315219588337,0.0002001988620737967
F2_on_paper_time,0.21450554020779927,0.041184809742326564
duty_cycle,0.2074026162531775,-0.05450729617496889
stop_ratio,0.20275591805833398,0.021488351823167558
height,0.19619927423565445,-0.04142118636348099
mean_pressure,0.19451429969258216,-0.03468645411308272
straightness,0.18856897275229415,-0.044606462456480006
p95_speed,0.18789473876405036,0.013440716534233567
median_acceleration,0.17969065074480048,0.0013431716775523966
aspect_ratio,0.17187977049406905,0.003896045875498841
F3_total_time,0.16241212733494315,0.06488263617100924
dominant_angle,0.1620991745924189,0.009306617805152408
width,0.16079629743256413,-0.03719953066600095
