feature,mean_abs_shap,signed_mean_shap
F2_on_paper_time,0.2378771022183114,-0.1001139640253826
height,0.16973565877696373,-0.10706257451443123
direction_concentration,0.06762286481691163,0.004051549198761515
std_slant,0.06685912331221514,-0.016267192792667952
p95_pen_up_speed,0.06355209472107871,0.012825433135010111
width,0.04591800506128433,0.005287471100391316
path_length,0.03970681196430976,0.020904737341451467
duty_cycle,0.036288562677285426,0.004945300369566679
ink_density,0.030717946664217677,0.008302861891975563
abs_mean_slant,0.02901815345013838,-0.02901815345013838
straightness,0.028870803441329772,0.0011128137968415472
mean_pressure,0.020914345190257904,-0.020914345190257904
mean_slant,0.02056296993680379,0.002282855785044659
p95_speed,0.018583212290389076,0.01373896502620505
pen_up_path_length,0.016924516062214942,-0.006983084351378196
aspect_ratio,0.015336167491268423,0.0011969691700502182
dominant_angle,0.014931122316133246,-0.006967130260728934
median_speed,0.012724500072808969,0.005372566697408233
F1_in_air_time,0.011865961819647877,-0.008756261480705668
median_pen_up_speed,0.009699056119892229,-0.004914768347748081
