feature,mean_abs_shap,signed_mean_shap
abs_mean_slant,0.12324887057287265,-0.026778528085897004
mean_slant,0.1133130105822259,-0.10020034198808479
direction_concentration,0.07736207975106324,-0.02099223847037718
pen_up_ratio,0.07053618122427056,-0.015240053409644183
median_acceleration,0.0673055120727739,-0.0027740805203850527
std_slant,0.060488401849087624,-0.0009315190749175768
F4_stroke_count,0.04730119446179222,0.0037500025764816486
p95_pen_up_speed,0.041472393119658224,0.010251410395930525
width,0.039117530321928544,0.015170130601343498
duty_cycle,0.03730987564462339,0.00753486268966669
mean_pressure,0.03605319058122014,0.011487491683941487
median_speed,0.02949783975532967,-0.02513350652543704
F1_in_air_time,0.022488848305185462,-0.0003520656739709183
straightness,0.022455071758772076,0.0017036089192920812
height,0.019654617858580057,-0.005936722184189807
F2_on_paper_time,0.01882456262204194,0.008582998879184426
stop_ratio,0.017733285619089614,-0.011085175844975812
dominant_angle,0.0171872904111103,0.005242744281470326
F3_total_time,0.0164701489595753,0.0008034401088115677
path_length,0.014603001141622048,0.00018174796370059755
