feature,mean_abs_shap,signed_mean_shap
mean_pressure,1.9059397638365163,-0.1828240402688779
mean_slant,1.7075261500196757,-0.2123681667004969
direction_concentration,1.1433819944377923,0.06519453885342409
width,0.9909867613477051,-0.11917925115738168
ink_density,0.9100516890646712,0.055190813644874354
pen_up_ratio,0.8623576313457152,-0.10543420568280437
F2_on_paper_time,0.8610714276572041,0.14895743837834402
dominant_angle,0.847378583102018,-0.0819961560179976
median_acceleration,0.6767913071919547,-0.03043872672091926
p95_pen_up_speed,0.6611680782923524,-0.031740184806659376
stop_ratio,0.6229554159944376,-0.013138160041737667
F3_total_time,0.5779701729654381,0.05744076952809548
aspect_ratio,0.574904184766468,0.01744522143021158
F4_stroke_count,0.5727068845728687,-0.09566382353486645
std_slant,0.5502871198310303,-0.204653037653046
height,0.48276840196157317,-0.038515645986017394
p95_speed,0.480230321183886,-0.08566558846049534
abs_mean_slant,0.44408959841394213,-0.12183836770520662
duty_cycle,0.4257396619773402,0.12192666771485304
straightness,0.4128738524703778,-0.0016307105654374116
