feature,mean_abs_shap,signed_mean_shap
mean_slant,0.6119132144777649,-0.11710736594743193
mean_pressure,0.5955796828140631,0.006572778992131152
std_slant,0.45367655457364375,-0.20709129491945177
dominant_angle,0.37799442884474693,-0.008915195985080965
direction_concentration,0.34875426678515997,0.0445792277478263
abs_mean_slant,0.34510118395583145,-0.1691617107230806
F2_on_paper_time,0.34452014463278624,0.09027929433201744
pen_up_ratio,0.3342718568035533,-0.08565574469663992
ink_density,0.3072746525727718,-0.022167796971182537
width,0.2946311133178839,-0.02129289597805047
duty_cycle,0.2700485705231967,0.08333088883184933
stop_ratio,0.2611327407654708,0.05305240753925648
F4_stroke_count,0.2558147978692251,-0.08335607571818236
p95_speed,0.23203773375797004,-0.004043660746985544
p95_pen_up_speed,0.22588960628718743,-0.008662539539400257
median_acceleration,0.21518563550313435,0.04462400812836673
F3_total_time,0.19995287983542512,0.02693391930813086
median_speed,0.1735031094260373,-0.018240021232069043
aspect_ratio,0.172497706747995,-0.01617313673020286
height,0.15402046831128408,0.014324596855726275
