feature,mean_abs_shap,signed_mean_shap
dominant_angle,1.0004177826801088,-0.012532172018240105
direction_concentration,0.9787486266760593,-0.06642340970644414
pen_up_ratio,0.8552285931159975,-0.18340715494628282
pen_up_path_length,0.8375315621115397,0.07343377731892282
mean_pressure,0.8105094787139092,0.2845683279225716
mean_slant,0.7526525108202946,-0.15802670547094297
p95_pen_up_speed,0.745172359247542,0.13467826816012482
duty_cycle,0.6057066899374173,0.12495499198196033
width,0.5732132954216073,0.43261318127031
ink_density,0.4186223768479164,-0.004888746076159084
F4_stroke_count,0.3256738114463675,0.06563354124815865
straightness,0.31944897776845743,0.14412115876121295
path_length,0.3000232916615547,0.1094836474951002
F3_total_time,0.29201014321119945,-0.018176126867747007
height,0.28052883816901025,0.09651429093448548
F2_on_paper_time,0.27640152978744836,0.14152320672751448
stop_ratio,0.2585373583375521,-0.060314432503877885
median_pen_up_speed,0.25410129196761466,-0.00960319900495079
std_slant,0.177270855716997,0.03931445860924109
aspect_ratio,0.17671888755713697,0.06742541078468822
