F1_in_air_time;F2_on_paper_time;F3_total_time;F4_stroke_count;duty_cycle;path_length;median_acceleration;median_speed;p95_speed;stop_ratio;straightness;dominant_angle;direction_concentration;mean_pressure;width;height;aspect_ratio;ink_density;id;user
12076;9322;21398;22;0.43564819141975886;15.435.720.655.873.000;-0.011466107567734696;7.857.142.857.142.850;14.208.788.747.871.400;0.06080525883319639;0.02053184600169028;27.123.052.733.628.000;208.524.634.615.464;5.930.936.238.902.340;8102;8914;0.9089073367736146;0.002826959694120399;u00001s00001_hw00006;1.0
13159;13149;26308;24;0.49980994374334803;9.534.350.260.983.490;0.0;3.142.857.142.857.140;9.124.871.569.317.090;0.15081206496519722;0.02985049525827143;-2.404.728.386.171.520;5.278.928.203.376.290;8.011.824.942.791.760;6036;5506;10.962.586.269.524.100;0.0035532691319811694;u00002s00001_hw00006;2.0
29220;9985;39205;33;0.2546869021808443;20.457.047.410.889.600;0.0;671.580.529.916.752;20.055.322.185.331.000;0.06661502711076685;0.017147462092664673;506.848.801.701.678;13.719.559.173.841.600;5.367.212.990.936.550;7058;6555;10.767.353.165.522.500;0.005533583457350339;u00003s00001_hw00006;3.0
13445;8770;22215;19;0.3947783029484582;9.499.740.188.583.480;0.0;5.209.663.042.690.460;10.107.813.565.568.800;0.10907504363001745;0.049122372091191246;21.071.789.061.973.700;2.065.828.120.267.720;5.546.137.339.055.790;5859;5881;0.9962591396021084;0.003576541084694239;u00004s00001_hw00006;4.0
18572;14654;33226;25;0.4410401492806838;15.270.211.885.077.600;0.0;4.705.382.556.179.670;1.237.499.508.653.260;0.13111342351716962;0.036357414268735205;6.030.288.392.621.190;1.189.280.077.909.240;49.626.656.394.453.000;7133;7689;0.9276889062296788;0.0035142208060106087;u00005s00001_hw00006;5.0
29944;14920;44864;43;0.33256062767475036;21.026.373.399.408.800;0.0;4.449.260.429.256.410;1.880.913.711.887.650;0.16778523489932887;0.0253331845579429;-2.780.695.161.230.190;10.282.108.079.229.200;5.371.186.868.686.860;13424;5361;25.040.104.458.123.400;0.004007226906987158;u00006s00001_hw00006;6.0
32836;15046;47882;32;0.31423081742617265;2.677.496.317.498.710;-0.01785714285714285;5.052.782.220.373.970;1.042.646.638.869.780;0.09775967413441955;0.014637543405330761;-10.557.553.964.625.200;12.485.698.209.246.400;5.383.286.573.146.290;8136;9643;0.8437208337654257;0.004200198303750857;u00007s00001_hw00006;7.0
18312;8119;26431;22;0.3071771783133442;9.869.062.848.196.240;-0.0065058332548135756;4.125;12.410.902.396.061.900;0.08617424242424243;0.01715337274420893;-558.795.162.579.235;5.193.494.774.724.080;4.246.734.693.877.550;3674;3465;10.603.174.603.174.600;0.009879430322376545;u00008s00001_hw00006;8.0
15112;9437;24549;23;0.3844148437818241;13.588.926.478.307.500;0.0;5.755.432.216.610.660;17.826.146.219.978.000;0.17059301380991065;0.025741405759974596;35.714.108.179.339.800;2.928.892.954.181.600;46.542.583.732.057.400;6725;7637;0.880581380123085;0.003338871607949235;u00009s00001_hw00006;9.0
11685;9974;21659;21;0.46050140819059054;9.497.801.935.777.610;0.0;4.75;15.662.655.191.063.600;0.1111963190184049;0.010695657356779405;1.456.446.508.756.980;6.714.716.853.244.600;31.257.358.490.566.000;6170;6927;0.8907174823155767;0.0028874360110567013;u00010s00001_hw00006;10.0
5485;6882;12367;21;0.5564809573865933;7.204.518.655.896.870;-0.10714285714285715;6.008.497.384.232.310;1.369.126.400.633.110;0.09395973154362416;0.022208930786970286;537.809.783.625.125;1.553.355.944.371.990;49.616.612.021.857.900;6041;6665;0.9063765941485371;0.0023931203659021175;u00011s00001_hw00006;11.0
4548;6138;10686;19;0.5743964065131948;10.785.986.238.234.800;-0.06853807178374627;8.442.822.395.384.140;4.227.183.881.548.320;0.03638644918444166;0.017412728008811298;2.770.173.011.974.590;18.799.664.083.321.700;5.146.323.529.411.760;7520;8226;0.9141745684415269;0.0022155119822377654;u00012s00001_hw00006;12.0
23838;11885;35723;22;0.33269882148755703;13.645.254.035.768.500;0.0;28.066.975.291.983.500;1.022.563.494.341.780;0.1369774919614148;0.020959849063611327;3.613.760.585.121.960;6.532.767.403.332.070;41.210.779.961.953.000;5952;5717;10.411.054.748.994.200;0.00517956894746933;u00013s00001_hw00006;13.0
14754;17929;32683;24;0.5485726524492855;11.797.577.758.306.000;0.0;35.252.809.269.118.800;7.231.378.610.224.840;0.13401187446988974;0.03344016766174761;29.451.172.809.962.100;2.945.336.506.293.630;5.604.160.369.437.440;5919;6317;0.9369954092132341;0.003926404589240661;u00014s00001_hw00006;14.0
12275;10790;23065;24;0.4678083676566226;1.394.492.173.367.580;-0.011690446978561697;5.415.544.755.608.610;12.142.857.142.857.100;0.056068133427963095;0.01856253967954131;825.930.360.148.454;14.177.796.124.913.500;4.974.159.106.769.010;8810;8367;10.529.460.977.650.200;0.002367456713845844;u00015s00001_hw00006;15.0
