F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,id,user
8929,14602,23531,34,0.6205431133398496,232760.23522338274,-0.028627805135576168,9.438306662376533,18.830928713173083,0.03486529318541997,0.12828470363394173,-58.65358506747677,87.92988029114848,461.2340425531915,3349,32927,0.10170984298599933,0.0025040290661946262,u00001s00001_hw00007,1.0
10505,14278,24783,57,0.5761207279183311,138499.10555245524,-0.004766294724143361,5.516397373347484,13.805286632156273,0.06304347826086956,0.2469045356606212,-78.3590590561054,122.17059196215614,727.4406958355298,2756,34326,0.08028899376565868,0.001927188800064465,u00002s00001_hw00007,2.0
11596,14683,26279,42,0.5587351116861372,186809.5092733347,-0.069867510233518,7.1556358906808555,16.36993055121498,0.042475091767173574,0.17458402923486874,-76.91281536436978,32.101587908915654,534.5890200102617,3792,33146,0.11440294454836179,0.001949466517222842,u00003s00001_hw00007,3.0
11995,13623,25618,39,0.5317745335311109,190832.86035757622,-0.05357142857142855,6.490377492873585,14.795476168466683,0.05251270468661773,0.15524658469110808,-35.35343074904513,27.436299564357387,543.0193370165746,15629,30810,0.5072703667640377,0.0006899486106896459,u00004s00001_hw00007,4.0
11153,17305,28458,39,0.6080891137817134,219072.43097232317,-0.017723350061226606,6.715045506726617,15.619298905179546,0.05530973451327434,0.04574387515126107,-84.0692328905913,47.404041065057925,555.5511091779034,4015,34705,0.11568938193343899,0.0021092105664675567,u00005s00001_hw00007,5.0
8634,14640,23274,36,0.6290281000257798,245070.9664166973,-0.0834846965994469,10.186541365939668,20.252108709840243,0.035430988894764676,0.080179475610682,-61.8897020494051,34.22874520049688,640.7223663725999,4352,34272,0.12698412698412698,0.0021049487148854114,u00006s00001_hw00007,6.0
9453,13395,22848,34,0.586265756302521,140316.4679358,-0.0892857142857143,5.456021864408854,15.637223062021071,0.03951890034364261,0.22971487504572963,-86.03606367066767,107.19360960232677,484.82696629213484,3378,32502,0.10393206571903267,0.0018043537731881267,u00007s00001_hw00007,7.0
15303,17822,33125,43,0.5380226415094339,177556.2862264472,-0.06919713989809662,5.056141899511436,11.71552413876589,0.06970740103270223,0.20398404576742266,-73.96224106185542,111.84147487903226,457.3405154203633,2073,36264,0.05716412971542025,0.0028682848986705347,u00008s00001_hw00007,8.0
13074,13025,26099,66,0.4990612667151998,165802.8481648151,-0.11208073645272765,5.8901508937395155,13.666122083446671,0.052315093205051115,0.14350153389202697,-58.05988793175753,76.83776852536886,324.8241758241758,3707,27571,0.13445286714301258,0.002330047189387965,u00009s00001_hw00007,9.0
5624,13386,19010,33,0.7041557075223567,180094.43983776012,-0.09461224881732111,8.89961375566378,22.28754571229302,0.035611717403790925,0.1918937824312355,-73.48593124253198,41.5071273037444,299.1815107102593,3171,35276,0.0898911441206486,0.002121986380995673,u00010s00001_hw00007,10.0
8548,13790,22338,36,0.6173336914674545,149333.4458330503,-0.045009496576176033,6.285714285714286,14.355422750159345,0.07957707289927657,0.2241269917931796,-63.4359697111311,56.99538020391213,401.94817239498093,2457,33504,0.07333452722063037,0.0027066362683800067,u00011s00001_hw00007,11.0
7299,16760,24059,34,0.6966208071823434,190279.50325385516,-0.05785891377409769,7.2424529684354875,16.145888897856334,0.04240766073871409,0.1511251878024605,-74.15352230991057,85.14461940573446,547.2478670857656,3766,30577,0.1231644700264905,0.002044500024356725,u00012s00001_hw00007,12.0
9203,20960,30163,23,0.694891091734907,164692.46297531234,-0.06257584737503485,5.375,10.624681026689945,0.05611875452570601,0.2137375688766986,-66.41144197496888,77.52151175984135,429.3271095152603,2461,35383,0.06955317525365289,0.002764507430907376,u00013s00001_hw00007,13.0
10574,14042,24616,40,0.5704419889502762,196736.8394158383,-0.0892857142857143,6.793788632960919,19.2365274564936,0.0312157721796276,0.028535018653664045,-73.81002670497054,58.83505920329503,430.2041800643087,3816,31759,0.1201549167165213,0.0022404083741765558,u00014s00001_hw00007,14.0
11729,16414,28143,43,0.5832356180933091,138230.45889955366,-0.09225567887090769,5.713741577649467,10.339343928542009,0.05612722170252572,0.2434506987551826,-57.59765014809774,64.92091687035118,467.888583218707,1734,33651,0.0515289293037354,0.002750889009023009,u00015s00001_hw00007,15.0
10453,16752,27205,37,0.6157691600808675,141243.83946849548,-0.04181756208353038,4.410099725838037,11.985394445602155,0.0858839652809502,0.24895146181066133,-52.95361660976961,57.165860486475964,490.99730458221023,2366,35147,0.06731726747659829,0.002255420812509797,u00016s00001_hw00007,16.0
28107,17555,45662,63,0.3844553458017608,235841.5331173009,-0.01785714285714282,5.625,11.303415972441309,0.10454344949272165,0.04049056328884342,-31.85633644777661,54.46883032151291,455.3343347639485,2833,24233,0.11690669747864482,0.004296676772717913,u00017s00001_hw00007,17.0
13198,14232,27430,53,0.5188479766678818,170483.39972516132,-0.10234066583987333,7.103036322587686,17.13440960067896,0.04300489929232444,0.19630596402471742,-75.66763943676884,61.03520209115795,634.0291005291006,3244,33911,0.09566217451564389,0.0022390379437347385,u00018s00001_hw00007,18.0
12181,16624,28805,56,0.5771220274257941,151200.92702710995,-0.03276572979983672,4.1970910388850164,9.49601759437539,0.05794392523364486,0.20566755194426659,-39.27701542736907,13.590019445258225,233.85701275045537,1574,31156,0.05051996405186802,0.004276068804610941,u00019s00001_hw00007,19.0
9732,13528,23260,43,0.5815993121238177,173344.1812568612,-0.09726634468659912,6.875,21.024238588870872,0.040455840455840456,0.20166148269463272,-70.79712146026986,98.11023408020756,385.5778642936596,3500,34956,0.10012587252546058,0.0019020121155475453,u00020s00001_hw00007,20.0
12848,16095,28943,50,0.5560930103997512,132874.64926404844,-0.05357142857142838,3.536255296272076,8.102812101986334,0.0625,0.232798514387981,-57.897923613991836,33.65137639425853,196.46478873239437,1612,31032,0.05194637793245682,0.004162640006487578,u00021s00001_hw00007,21.0
11237,18934,30171,26,0.6275562626363064,255794.97493545682,-0.006669466064039398,7.427648408663951,20.09216872551364,0.03775100401606426,0.0417241920400123,-53.04733196321794,21.740348607202094,420.4360095389507,4281,34360,0.12459254947613504,0.0022052846238703864,u00022s00001_hw00007,22.0
9606,13471,23077,36,0.5837413875287082,192608.53200041223,-0.08770243113904552,5.824248260750421,16.412410130731153,0.04047890535917902,0.06439329809965576,-79.7999420612392,119.37302313267791,520.6871508379888,4192,33122,0.12656240565183263,0.0019661965856468313,u00023s00001_hw00007,23.0
