F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,id
10163,13324,23487,59,0.5672925448120236,82631483.0,8.344618209434419,19.82988879938358,0.08513382779748468,0.0002553038642819345,-44.47399379255726,98.2486587117123,534.2213438735178,21102,11817,1.7857324193957858,0.3766503191601766,u00001s00001_hw00003
17535,17437,34972,58,0.4985988791032826,276481808.0,5.495824017620384,15.312498782227856,0.10970760233918128,8.190798260376585e-05,-64.05319750314655,133.99642776017615,694.0323694432456,21133,14041,1.5050922298981555,1.0895665727354478,u00002s00001_hw00003
17744,14288,32032,61,0.44605394605394605,398622775.0,5.551604453210916,15.625,0.10693940963231487,5.341965776155229e-05,-43.222218667005876,83.88686144835938,611.3685333333333,21162,13757,1.5382714254561314,1.5107075121534186,u00003s00001_hw00003
9509,15015,24524,60,0.6122573805251998,61162672.0,5.0,12.730104072229175,0.10449612403100775,0.000325689030482159,-59.073823911395685,60.80544272747296,595.0591478696742,20369,7699,2.6456682686063124,0.4412851415167078,u00004s00001_hw00003
15829,15048,30877,59,0.4873530459565372,328294706.0,6.59555641194277,15.098142299051348,0.09400948991696323,6.455814575393979e-05,-63.96535840704941,41.11926651060661,515.5548322483726,20683,12710,1.6273013375295042,1.3646350467466537,u00005s00001_hw00003
16627,14009,30636,53,0.4572724898811855,433186078.0,7.285714285714286,18.72464231322913,0.11462341946124244,5.1250034984256003e-05,-56.67484091915195,63.297439776931306,614.7756756756756,21041,15098,1.393628295138429,1.5860201828433227,u00006s00001_hw00003
24427,14826,39253,67,0.3777036150103177,174121803.0,3.5144745859933653,11.499367442656416,0.11250550418317921,0.000119095992805424,-63.26494984302045,120.40782316311216,419.29639044229793,20871,9264,2.2529145077720205,1.081680869938236,u00007s00001_hw00003
16403,14312,30715,64,0.46596125671496014,360648016.0,6.714285714285714,17.17960327477171,0.08620236530880421,6.009433045591553e-05,-69.41409305321008,89.6663381944588,537.203051025776,21292,13274,1.6040379689618804,1.5200568548646494,u00008s00001_hw00003
17890,14377,32267,62,0.44556357888864784,163346372.0,4.129731159254465,11.294255316094226,0.11503301168105637,0.00012313253942735486,-39.5059391312582,149.26800208245734,347.1086614173228,20586,10063,2.045712014309848,0.9946371638614204,u00009s00001_hw00003
14221,12135,26356,68,0.4604264683563515,133104276.0,6.967363820076635,14.933443357328542,0.0873015873015873,0.00015438112774663465,-62.84269885336346,54.19658855166801,293.9739292364991,20845,11048,1.8867668356263576,0.7103910156345422,u00010s00001_hw00003
12227,13326,25553,61,0.521504324345478,105287346.0,7.325042661991806,17.580717637601182,0.09886746250382614,0.00019758880192260051,-72.36563793077812,61.207072603136076,416.22146892655365,21007,12426,1.6905681635280863,0.4676500134382257,u00011s00001_hw00003
11587,15516,27103,52,0.5724827509869757,265241059.0,8.089423460921275,19.6980954686516,0.10789632308619651,8.013846141950089e-05,-44.25619505600776,55.492317761532355,563.3496605237633,20523,12540,1.636602870813397,1.2028600800207592,u00012s00001_hw00003
11738,18907,30645,45,0.6169685103605809,144588796.0,4.876308031230826,11.00156229828298,0.10966057441253264,0.0001426890833527141,-48.11988922205303,101.44644789738679,446.47929936305735,20410,8460,2.4125295508274234,0.915100503637309,u00013s00001_hw00003
