path_length;mean_speed;std_speed;straightness;direction_variance;bbox_area;sample_id
15.342.044;0.077095695;0.040556904;0.04384538;30.779.388;0.4272945;u00001s00001_hw00006
13.916.401;0.06993166;0.0325652;0.051366553;3.079.786;0.42804265;u00002s00001_hw00006
16.596.039;0.08339718;0.04589593;0.05239184;30.251.088;0.5525149;u00003s00001_hw00006
17.517.662;0.08802845;0.052389022;0.03264808;30.978.353;0.4341881;u00004s00001_hw00006
154.122.305;0.0774484;0.0410566;0.043636847;29.255.033;0.3857336;u00005s00001_hw00006
132.297;0.066480905;0.032930754;0.064307086;30.812.583;0.6059826;u00006s00001_hw00006
16.803.896;0.08444169;0.04990798;0.034145325;30.785.434;0.44763047;u00007s00001_hw00006
1.700.178;0.085436076;0.047113456;0.037282407;28.938.885;0.4026505;u00008s00001_hw00006
15.680.182;0.07879489;0.046105992;0.038591713;3.065.136;0.4343739;u00009s00001_hw00006
17.724.672;0.0890687;0.048173115;0.03138365;33.017.254;0.49033883;u00010s00001_hw00006
14.775.475;0.07424862;0.042544797;0.040964738;29.965.274;0.4145754;u00011s00001_hw00006
14.250.572;0.07161091;0.039417543;0.046509717;30.372.236;0.41903317;u00012s00001_hw00006
1.517.314;0.07624693;0.04280014;0.039465204;31.149.902;0.4303871;u00013s00001_hw00006
15.755.924;0.0791755;0.04093098;0.04092714;29.977.481;0.40272856;u00014s00001_hw00006
16.871.296;0.08478038;0.046903532;0.032663204;30.381.565;0.41153285;u00015s00001_hw00006
15.670.613;0.0787468;0.042041287;0.039896566;30.357.783;0.4029267;u00016s00001_hw00006
15.818.928;0.0794921;0.04504218;0.040686198;30.020.654;0.39703616;u00017s00001_hw00006
16.223.015;0.08152269;0.043104548;0.04603985;29.664.447;0.49814382;u00018s00001_hw00006
1.943.444;0.097660504;0.05312437;0.028236004;32.123.127;0.5899721;u00019s00001_hw00006
17.509.998;0.08798994;0.05262889;0.03258805;30.598.512;0.43745962;u00020s00001_hw00006
18.376.863;0.09234605;0.04935596;0.030910773;32.857.535;0.5098076;u00021s00001_hw00006
9.916.109;0.049829695;0.027490694;0.078114934;29.125.998;0.46885565;u00022s00001_hw00006
14.244.499;0.071580395;0.03506585;0.048752636;30.852.394;0.40611407;u00023s00001_hw00006
