path_length,mean_speed,std_speed,straightness,direction_variance,bbox_area,sample_id
15.341572,0.077093326,0.041528333,0.037685256,3.1171918,0.40951464,u00001s00001_hw00001
15.613992,0.07846227,0.04525463,0.037096158,3.0730963,0.45262477,u00002s00001_hw00001
14.533926,0.0730348,0.04071731,0.0408494,3.0017862,0.41393992,u00003s00001_hw00001
15.208271,0.07642347,0.04306121,0.03783037,3.013315,0.41733795,u00004s00001_hw00001
14.585577,0.07329436,0.03900597,0.04296147,3.0134456,0.39529154,u00005s00001_hw00001
12.869118,0.06466893,0.035076734,0.050328523,2.9740727,0.41048732,u00006s00001_hw00001
15.961815,0.08021013,0.045910593,0.034565248,3.1497207,0.4646217,u00007s00001_hw00001
18.285378,0.09188632,0.0519817,0.02974314,3.187034,0.5372218,u00008s00001_hw00001
14.545131,0.07309111,0.040406033,0.040910322,3.110754,0.39358544,u00009s00001_hw00001
18.07336,0.09082091,0.04946881,0.030180847,3.3136766,0.49640775,u00010s00001_hw00001
16.285488,0.081836626,0.046069555,0.03455153,3.1606777,0.4856327,u00011s00001_hw00001
14.72357,0.07398779,0.042682864,0.03834403,3.0522878,0.42093992,u00012s00001_hw00001
14.972708,0.07523974,0.043600306,0.04176545,3.076789,0.44919148,u00013s00001_hw00001
16.525051,0.08304046,0.04752979,0.03461141,3.057446,0.42022327,u00014s00001_hw00001
16.390463,0.082364134,0.046898175,0.03519504,3.174709,0.46522307,u00015s00001_hw00001
15.161429,0.07618809,0.042722855,0.03900003,3.0993977,0.4272439,u00016s00001_hw00001
14.067987,0.0706934,0.037868474,0.043912362,3.0533102,0.42780223,u00017s00001_hw00001
14.244984,0.07158283,0.0396515,0.04297329,2.9457383,0.38954195,u00018s00001_hw00001
18.829102,0.0946186,0.049554147,0.031169735,3.190604,0.5475754,u00019s00001_hw00001
14.395653,0.07233997,0.041221187,0.039487693,2.9488287,0.4053627,u00020s00001_hw00001
19.620728,0.09859662,0.049452085,0.028820265,3.255508,0.56165546,u00021s00001_hw00001
14.988714,0.07532017,0.04237746,0.038687367,2.998893,0.47446036,u00022s00001_hw00001
14.966459,0.075208336,0.043213487,0.039743528,2.9043055,0.4098478,u00023s00001_hw00001
17.859713,0.0897473,0.050851967,0.030674763,3.2942412,0.49791992,u00024s00001_hw00001
14.271992,0.07171855,0.04059358,0.042267088,2.9360874,0.43703726,u00025s00001_hw00001
15.955929,0.08018055,0.045775793,0.03584764,2.9820237,0.43495482,u00026s00001_hw00001
15.623442,0.078509755,0.045858953,0.037597712,3.1064055,0.4630827,u00027s00001_hw00001
12.578805,0.06321008,0.0351463,0.050194778,2.9481573,0.40647236,u00028s00001_hw00001
14.355986,0.072140634,0.039846845,0.042841904,3.006171,0.44458827,u00029s00001_hw00001
14.993133,0.07534237,0.043171618,0.039463006,2.966481,0.400301,u00030s00001_hw00001
18.633835,0.09363736,0.049591336,0.029744197,3.2109425,0.53216654,u00031s00001_hw00001
12.888779,0.06476773,0.03661753,0.047009166,2.9372225,0.42014202,u00032s00001_hw00001
13.333705,0.06700354,0.033479925,0.052992214,2.9882407,0.463525,u00033s00001_hw00001
17.861813,0.08975785,0.047917437,0.03204219,3.235074,0.51386845,u00034s00001_hw00001
12.479738,0.06271225,0.034898248,0.050941404,3.0266476,0.40620244,u00035s00001_hw00001
11.999556,0.060299274,0.03169747,0.06042936,3.1703558,0.43333614,u00036s00001_hw00001
16.378242,0.08230273,0.04694034,0.03395568,3.0873392,0.48699978,u00037s00001_hw00001
17.80151,0.08945482,0.051562086,0.032573324,3.2137568,0.49384692,u00038s00001_hw00001
16.155556,0.081183694,0.04702047,0.034524333,3.0399842,0.47495112,u00039s00001_hw00001
14.949483,0.07512303,0.0417999,0.038732935,3.1720035,0.40994948,u00040s00001_hw00001
15.414539,0.07746,0.046244364,0.03773341,3.1686637,0.43968228,u00041s00001_hw00001
13.900335,0.06985093,0.03355802,0.051472504,3.0221965,0.4505313,u00042s00001_hw00001
14.3270645,0.071995296,0.040714584,0.04073252,3.1459365,0.41093594,u00043s00001_hw00001
13.587133,0.06827705,0.038458973,0.046109762,2.9242673,0.4248568,u00044s00001_hw00001
14.562355,0.073177665,0.040613,0.040677622,3.0392442,0.39733088,u00045s00001_hw00001
16.82697,0.08455764,0.047284,0.035657845,2.9606445,0.44264984,u00068s00001_hw00001
13.14061,0.066033214,0.0376636,0.048846997,2.7985682,0.43825617,v00001s00001_hw00001
12.224223,0.061428256,0.03136224,0.05351028,3.0246687,0.38764602,v00002s00001_hw00001
18.47502,0.09283929,0.050852504,0.028007494,3.276983,0.5252341,v00003s00001_hw00001
18.947956,0.09521586,0.048873518,0.029869342,3.2590055,0.5480748,v00004s00001_hw00001
19.796406,0.09947943,0.051551495,0.030760996,3.2613108,0.6218503,v00005s00001_hw00001
13.772493,0.06920851,0.038133062,0.048084944,2.9675403,0.4469975,v00006s00001_hw00001
16.28236,0.081820905,0.047075313,0.034166045,3.0818803,0.47179958,v00007s00001_hw00001
17.141186,0.08613661,0.04661773,0.031721234,3.2826474,0.4758669,v00008s00001_hw00001
13.008028,0.065366976,0.032941043,0.047943704,2.886377,0.3744281,v00009s00001_hw00001
14.901145,0.07488012,0.042309012,0.038434174,2.9502203,0.42091775,v00010s00001_hw00001
15.134113,0.07605082,0.043847512,0.038284283,3.0715847,0.46546,v00011s00001_hw00001
13.94235,0.07006206,0.037507575,0.04193732,3.1327548,0.4075564,v00012s00001_hw00001
14.885255,0.074800275,0.038999386,0.04447962,3.0077066,0.43788064,v00013s00001_hw00001
18.28374,0.09187809,0.047646955,0.03298061,3.2203422,0.5628998,v00014s00001_hw00001
13.772646,0.06920928,0.03950749,0.04409362,3.1119351,0.4664044,v00015s00001_hw00001
