path_length;straightness;dominant_angle;direction_concentration;width;height;aspect_ratio;median_speed;p95_speed;id
15.342.044;0.04384538;-0.48878688;0.042170487;0.90642375;0.471407;19.228.051;0.071838334;0.14665778;u00001s00001_hw00006
13.916.401;0.051366553;-0.026504396;0.025431085;0.8915446;0.48011357;18.569.452;0.066091895;0.1273103;u00002s00001_hw00006
16.596.039;0.05239184;-0.7385972;0.05044749;0.98527914;0.5607699;17.570.114;0.079703026;0.17227748;u00003s00001_hw00006
17.517.662;0.03264808;0.8663232;0.035421055;0.91861564;0.47265482;19.435.233;0.0754939;0.18775141;u00004s00001_hw00006
154.122.305;0.043636847;0.17992269;0.0636607;0.85734797;0.44991487;19.055.781;0.07306678;0.15584874;u00005s00001_hw00006
132.297;0.064307086;-0.9704432;0.047793165;0.98540074;0.61496055;16.023.804;0.06285266;0.13078661;u00006s00001_hw00006
16.803.896;0.034145325;0.72383577;0.02898593;0.8952798;0.49998945;17.905.974;0.07785887;0.18203838;u00007s00001_hw00006
1.700.178;0.037282407;0.12548573;0.07164435;0.90054584;0.44711828;2.014.111;0.07752263;0.17436734;u00008s00001_hw00006
15.680.182;0.038591713;0.2874354;0.030301843;0.879146;0.49408618;17.793.373;0.073337;0.16806102;u00009s00001_hw00006
17.724.672;0.03138365;-2.421.078;0.018875431;0.90077955;0.54434943;16.547.818;0.084139116;0.17928483;u00010s00001_hw00006
14.775.475;0.040964738;-0.040844873;0.03745261;0.8539122;0.4855012;17.588.261;0.0671606;0.14886408;u00011s00001_hw00006
14.250.572;0.046509717;-0.35324693;0.052474488;0.8761754;0.4782526;18.320.348;0.06710812;0.14373058;u00012s00001_hw00006
1.517.314;0.039465204;-0.9846602;0.046845943;0.8558371;0.5028844;17.018.566;0.073107466;0.14844808;u00013s00001_hw00006
15.755.924;0.04092714;0.46390262;0.04114593;0.86637056;0.46484563;18.637.812;0.071997195;0.15365358;u00014s00001_hw00006
16.871.296;0.032663204;-0.11448988;0.037159555;0.88342434;0.46583825;18.964.186;0.077034235;0.16095683;u00015s00001_hw00006
15.670.613;0.039896566;0.6005667;0.047122173;0.89199555;0.4517138;19.746.919;0.073161595;0.15219824;u00016s00001_hw00006
15.818.928;0.040686198;0.15932088;0.05636057;0.87866807;0.45186138;19.445.523;0.06930756;0.16287358;u00017s00001_hw00006
16.223.015;0.04603985;-0.41820636;0.047992468;0.93463475;0.53298235;17.535.942;0.07777698;0.16101815;u00018s00001_hw00006
1.943.444;0.028236004;0.6724152;0.011275065;0.96980816;0.60833895;15.941.905;0.08975744;0.19156191;u00019s00001_hw00006
17.509.998;0.03258805;0.78293854;0.041406855;0.89271927;0.49003044;18.217.629;0.07916907;0.18717174;u00020s00001_hw00006
18.376.863;0.030910773;-26.916.394;0.020414844;0.9164821;0.5562657;16.475.617;0.08767107;0.1799691;u00021s00001_hw00006
9.916.109;0.078114934;-0.026333064;0.0742841;0.8927674;0.5251711;16.999.553;0.04623212;0.09879563;u00022s00001_hw00006
14.244.499;0.048752636;0.36643255;0.028594857;0.86333;0.4704042;1.835.294;0.06594159;0.13644482;u00023s00001_hw00006
15.840.374;0.03643984;0.95132434;0.019865725;0.8991136;0.4642053;19.368.879;0.07318056;0.15718609;u00024s00001_hw00006
1.409.116;0.045783564;0.113893144;0.037045687;0.8467282;0.45429027;18.638.484;0.06773256;0.14923975;u00025s00001_hw00006
17.070.967;0.03233553;-19.641.045;0.016601617;0.91912585;0.5232303;17.566.372;0.07452329;0.17896694;u00026s00001_hw00006
16.056.564;0.035468604;0.6167636;0.034255672;0.87184656;0.47826353;18.229.418;0.07290858;0.16970873;u00027s00001_hw00006
158.902;0.038050134;0.95210856;0.041393593;0.8591237;0.49939942;17.203.138;0.07529273;0.15711504;u00028s00001_hw00006
16.445.969;0.03483635;-0.57352763;0.04402654;0.8883089;0.46386638;19.150.102;0.07585246;0.16544949;u00029s00001_hw00006
1.571.942;0.03850208;-0.07173253;0.051580448;0.8706142;0.4764566;18.272.685;0.07261532;0.16718227;u00030s00001_hw00006
17.054.573;0.0325373;12.030.307;0.017550712;0.88295186;0.51069343;17.289.274;0.07912906;0.18179831;u00031s00001_hw00006
16.079.266;0.036593348;-0.5806965;0.033774737;0.89127785;0.48856223;18.242.873;0.07648935;0.17155221;u00032s00001_hw00006
16.567.402;0.0496364;-0.68898576;0.05041079;0.97396725;0.53884137;18.075.213;0.08170608;0.15538332;u00033s00001_hw00006
15.703.182;0.040215254;0.7488139;0.0693432;0.91167104;0.51056516;17.856.115;0.07251703;0.16309172;u00034s00001_hw00006
16.727.798;0.033635706;-20.912.619;0.03383101;0.8660651;0.4983881;17.377.322;0.082494915;0.16328417;u00035s00001_hw00006
15.922.702;0.038693596;0.084755324;0.046994086;0.8580875;0.45376122;18.910.551;0.07189972;0.16232166;u00036s00001_hw00006
17.295.372;0.031616252;-1.022.142;0.016273515;0.92193425;0.5184502;17.782.503;0.07914779;0.17413;u00037s00001_hw00006
15.252.502;0.03839396;0.18283528;0.038573183;0.9058168;0.50933766;1.778.421;0.07006867;0.16455254;u00038s00001_hw00006
16.664.967;0.035226498;-14.544.617;0.016755925;0.9114278;0.5330155;17.099.462;0.07666524;0.17213984;u00039s00001_hw00006
16.533.258;0.03355165;0.8497174;0.006117316;0.8686624;0.509736;17.041.417;0.08013663;0.16610347;u00040s00001_hw00006
16.838.589;0.03200593;29.388.611;0.010655291;0.8796788;0.52892923;16.631.314;0.08277913;0.17078425;u00041s00001_hw00006
15.087.069;0.038713552;0.7132687;0.06010736;0.84036446;0.4698992;1.788.393;0.069850065;0.15758853;u00042s00001_hw00006
192.033;0.028059287;-19.793.657;0.03159527;0.906214;0.55602247;16.298.155;0.09168077;0.18365943;u00043s00001_hw00006
16.961.115;0.03366216;-1.391.528;0.0082608815;0.9215507;0.58095497;15.862.687;0.076893024;0.1630116;u00044s00001_hw00006
15.509.958;0.039703302;0.29995438;0.042242058;0.8881922;0.48240012;18.411.939;0.07292208;0.15869857;u00045s00001_hw00006
14.914.036;0.044216115;-0.24978356;0.05264161;0.86862457;0.46934766;18.507.061;0.06971835;0.14868653;v00006s00001_hw00006
1.809.924;0.03062978;-0.4498643;0.035289735;0.9163778;0.52955794;1.730.458;0.08649136;0.19704029;v00007s00001_hw00006
15.569.937;0.042459484;0.60397786;0.054766048;0.89301467;0.47038084;18.984.928;0.072233;0.14906937;v00008s00001_hw00006
17.155.706;0.03188084;0.55971724;0.03624205;0.87970376;0.49794123;17.666.819;0.08083581;0.174465;v00009s00001_hw00006
14.993.832;0.052251507;-11.825.525;0.031668954;0.9019368;0.5326629;169.326;0.07015121;0.1422453;v00010s00001_hw00006
160.596;0.04063469;0.1635612;0.044482663;0.88056356;0.48231316;18.257.092;0.07457956;0.15384306;v00011s00001_hw00006
15.039.151;0.04297266;0.02621086;0.044921238;0.9081253;0.5174676;17.549.412;0.06892188;0.1544056;v00012s00001_hw00006
14.204.041;0.045440994;0.2945339;0.030065352;0.869272;0.45948884;1.891.824;0.066160396;0.13814948;v00013s00001_hw00006
15.821.875;0.045531943;0.59934807;0.04760861;0.92126495;0.5110967;18.025.256;0.0740089;0.15202218;v00014s00001_hw00006
16.892.635;0.033569254;0.86016;0.067455724;0.8655001;0.4965713;17.429.523;0.07380812;0.17477705;v00015s00001_hw00006
16.696.545;0.035435464;0.27716506;0.059195723;0.8906857;0.4551546;1.956.886;0.07649665;0.17239566;v00016s00001_hw00006
15.987.153;0.03980637;0.7668876;0.039147;0.9201257;0.4809358;19.131.986;0.07683294;0.1625405;v00017s00001_hw00006
15.694.154;0.035714593;-0.39293945;0.028823875;0.8538804;0.4556936;18.738.039;0.074673645;0.15720224;v00018s00001_hw00006
15.496.227;0.03753971;-12.092.521;0.016290568;0.8788769;0.46735382;18.805.387;0.06841185;0.15778665;v00019s00001_hw00006
1.613.274;0.035826076;0.20291328;0.043342236;0.8927764;0.45213005;19.746.009;0.075491875;0.164751;v00020s00001_hw00006
17.066.946;0.032643292;-0.045641262;0.032291476;0.9084336;0.5139584;17.675.236;0.08237628;0.17742242;v00021s00001_hw00006
15.909.102;0.037219375;0.46971473;0.036000326;0.89800465;0.501615;17.902.269;0.0782141;0.16189611;v00022s00001_hw00006
15.586.613;0.037269413;0.8547922;0.039656464;0.87970936;0.45830792;19.194.723;0.07065463;0.15765454;v00023s00001_hw00006
16.876.842;0.03807656;0.4511842;0.047278576;0.9015057;0.49119395;18.353.355;0.07995884;0.16457598;v00024s00001_hw00006
16.795.914;0.034028918;0.34117487;0.03286052;0.9055166;0.48687828;1.859.842;0.07686204;0.1734277;v00025s00001_hw00006
17.009.071;0.034169268;-0.06443483;0.04960481;0.85321707;0.4895379;1.742.903;0.08060348;0.17307243;v00026s00001_hw00006
16.110.012;0.035710372;0.10586101;0.03905007;0.884743;0.50135666;17.646.978;0.07507232;0.17149638;v00027s00001_hw00006
16.823.002;0.0358178;0.7264413;0.02994087;0.9193263;0.5436683;1.690.969;0.07763797;0.18304668;v00028s00001_hw00006
1.483.378;0.04330705;0.6468439;0.04143842;0.8519083;0.4605511;18.497.585;0.06792158;0.14620118;v00029s00001_hw00006
15.426.374;0.042773686;0.44522777;0.036809154;0.8969419;0.4914298;18.251.679;0.07504958;0.14181972;v00030s00001_hw00006
18.185.951;0.030584069;-0.52383876;0.020498086;0.8978872;0.5414438;16.583.201;0.08169279;0.18860161;v00031s00001_hw00006
17.013.058;0.036082044;0.664259;0.034347404;0.89879346;0.5127549;17.528.715;0.07733526;0.16545005;v00032s00001_hw00006
14.965.349;0.042506192;0.11573751;0.0680337;0.8492206;0.45038518;18.855.429;0.07197755;0.15012859;v00033s00001_hw00006
15.062.813;0.041856896;0.18855806;0.0854479;0.8669308;0.44167307;19.628.336;0.07142131;0.14846835;v00034s00001_hw00006
14.706.754;0.04525316;-0.35453042;0.054106735;0.8794041;0.45996088;19.119.107;0.06841438;0.1480163;v00035s00001_hw00006
15.346.449;0.039680272;-0.56433105;0.024093162;0.8844447;0.46957925;18.834.834;0.069436654;0.1646437;v00036s00001_hw00006
13.719.524;0.05340822;-0.000107710686;0.034887794;0.8894417;0.4609448;19.296.057;0.0670481;0.12773198;v00037s00001_hw00006
19.966.682;0.027462507;11.176.636;0.019177167;0.98894525;0.6237309;1.585.532;0.09086673;0.20045568;v00038s00001_hw00006
16.747.473;0.03642697;0.10979199;0.03365927;0.9431863;0.5481614;17.206.361;0.074121386;0.17551346;v00039s00001_hw00006
18.045.738;0.030456658;-1.026.463;0.038368836;0.9357147;0.5547792;16.866.436;0.08591765;0.18242103;v00040s00001_hw00006
16.230.473;0.035241842;0.79507357;0.03865151;0.8927319;0.47627318;18.744.115;0.07505814;0.16403882;v00041s00001_hw00006
20.611.818;0.026608696;-19.881.382;0.023053223;0.9369254;0.6052696;15.479.472;0.099379644;0.20095445;v00042s00001_hw00006
16.318.256;0.036603957;-0.24586077;0.0456691;0.8961203;0.4888199;1.833.232;0.07501012;0.16797394;v00043s00001_hw00006
1.752.162;0.033512093;0.7181896;0.04225147;0.885533;0.47917518;18.480.359;0.07838296;0.17697367;v00044s00001_hw00006
1.734.492;0.03375349;-0.010642941;0.017220713;0.8918163;0.52538687;1.697.447;0.080064155;0.17511517;v00045s00001_hw00006
145.371.895;0.043573692;0.18585172;0.032110937;0.8619212;0.4626917;18.628.412;0.06509497;0.1447911;v00046s00001_hw00006
16.090.721;0.037430864;-0.019819634;0.036013406;0.8599917;0.48051417;17.897.323;0.0741894;0.16707738;v00047s00001_hw00006
